0,21
R,9
-2,55
R,10
-2,84
R,100
0,100
0,100
0,100
0,30
-3,22
R,8
3,100
0,47
R,69
4,51
R,6
-7,85
R,8
-2,87
R,4
2,23
R,7
3,100
0,45
R,68
4,52
R,9
-7,81
R,7
5,42
R,17
-5,19
R,10
3,100
0,47
R,66
4,52
R,8
-7,70
R,21
-2,85
R,68
2,68
R,21
3,70
R,24
4,52
R,6
-2,54
R,7
-2,2
R,28
0,48
R,43
-3,22
R,8
3,100
0,47
R,69
4,51
R,6
-7,85
R,7
-2,87
R,4
2,23
R,7
3,100
0,45
R,68
4,52
R,9
-7,67
R,21
5,39
R,12
2,56
R,2
-2,5
R,8
-2,11
R,9
-3,86
R,62
7,52
R,8
-7,70
R,21
-2,85
R,36
0,19
R,13
2,68
R,21
3,70
R,24
4,52
R,6
-2,78
R,12
-2,48
R,44
4,19
R,10
3,4
R,27
0,8
R,6
-12,55
R,9
-2,22
R,6
-1,24
R,7
-2,26
R,2
-2,24
R,6
-1,70
R,21
1,55
R,35
16,21
R,8
3,10
R,21
0,7
R,7
-12,55
R,7
-2,26
R,4
-1,26
R,4
-2,28
R,1
-2,31
-1,70
R,21
1,55
R,37
0,21
R,9
-3,16
R,14
0,23
R,37
10,50
R,7
-2,24
R,8
-1,24
R,8
-2,24
R,4
-2,26
R,7
2,51
R,8
2,2
R,29
0,40
R,10
-2,1
R,9
-2,40
R,52
-3,69
R,22
3,87
R,6
4,53
R,5
-2,54
R,7
-2,1
R,30
0,62
R,28
9,22
R,8
3,25
R,36
0,25
R,35
0,25
R,35
0,25
R,7
4,51
R,6
-7,85
R,7
-2,87
R,4
2,23
R,7
3,100
0,45
R,68
4,52
R,7
-7,84
R,7
5,22
R,7
2,24
R,6
3,23
R,7
0,24
R,6
-3,6
R,6
-4,86
R,35
0,52
R,8
2,19
R,21
2,40
R,9
-2,3
R,8
-2,43
R,20
0,9
R,6
-1,9
R,8
-2,68
R,21
3,70
R,24
4,52
R,6
-2,78
R,12
-2,48
R,44
4,19
R,10
3,4
R,27
0,8
R,6
-12,55
R,9
-2,22
R,6
-1,24
R,7
-2,26
R,2
-2,24
R,6
-1,70
R,22
22,100
R,18
-2,10
R,21
0,25
R,36
-12,55
R,7
-2,26
R,3
-1,26
R,4
-2,28
R,1
-2,31
-1,70
R,21
1,55
R,37
0,21
R,9
-1,16
R,14
-2,23
R,37
10,50
R,7
-2,24
R,8
-1,24
R,8
-2,24
R,4
-2,26
R,7
2,51
R,8
2,2
R,29
0,40
R,10
-2,1
R,10
-2,42
R,49
12,23
R,6
-1,25
R,4
-2,25
R,8
-2,52
R,7
2,51
R,40
0,70
R,22
-1,62
R,89
-8,20
R,13
0,20
R,9
-1,14
R,18
1,34
R,25
0,21
R,9
-1,16
R,14
1,32
R,27
0,24
R,8
-1,19
R,12
1,27
R,95
-1,4
R,12
0,6
R,6
1,18
R,12
0,20
R,13
-1,18
R,10
1,34
R,25
0,23
R,8
4,20
R,10
-7,65
R,26
3,26
R,6
-1,40
R,81
0,14
R,16
1,20
R,13
0,20
R,9
-1,14
R,18
1,34
R,25
0,21
R,40
-1,16
R,14
1,20
R,10
0,20
R,10
-1,19
R,12
1,27
R,94
-1,13
R,18
1,16
R,13
0,23
R,8
-1,17
R,13
1,82
R,9
7,16
R,14
0,100
0,100
0,5
R,6
2,22
R,8
3,100
0,46
R,69
4,51
R,6
-2,85
R,8
-2,88
R,4
-3,23
R,7
3,100
0,44
R,68
4,52
R,7
-2,85
R,6
-2,77
R,8
-3,20
R,15
3,94
R,100
0,100
0,100
0,100
0,100
0,100
0,94
-3,4
R,27
0,21
R,9
-3,24
R,7
5,52
R,7
-2,42
R,20
0,69
R,23
0,38
R,22
0,22
R,8
-7,5
R,24
0,24
R,7
2,77
R,12
2,72
R,81
3,69
R,23
0,38
R,22
0,22
R,8
-7,5
R,24
0,24
R,7
2,77
R,12
-2,72
R,85
7,61
R,26
0,43
R,18
0,23
R,7
-7,17
R,12
0,26
R,6
2,51
R,8
0,5
R,24
2,48
R,100
0,65
0,90
R,30
1,24
R,8
-1,23
R,8
-2,53
R,37
-2,65
R,25
16,19
R,10
3,4
R,27
0,8
R,6
-12,55
R,9
-2,22
R,6
-1,24
R,7
-2,26
R,2
-2,24
R,6
-1,70
R,21
1,55
R,35
16,21
R,8
3,10
R,21
0,7
R,7
-12,55
R,7
-2,26
R,4
-1,26
R,4
-2,28
R,1
-2,31
-1,70
R,21
1,55
R,37
0,21
R,9
-1,16
R,14
-2,23
R,37
10,50
R,7
-2,24
R,8
-1,24
R,8
-2,24
R,4
-2,26
R,7
2,51
R,8
2,2
R,29
0,77
R,74
-7,69
R,22
3,87
R,6
4,53
R,6
-2,70
R,22
-2,62
R,100
0,50
7,55
R,9
-2,22
R,6
-1,24
R,7
-2,26
R,2
-2,24
R,6
-1,70
R,21
1,55
R,100
0,4
7,55
R,7
-2,26
R,4
-1,26
R,4
-2,28
R,1
-2,31
-1,70
R,21
1,55
R,37
0,21
R,9
-1,16
R,14
-2,23
R,37
10,50
R,7
-2,24
R,8
-1,24
R,8
-2,24
R,4
-2,26
R,7
2,51
R,8
2,2
R,29
0,77
R,74
-7,69
R,22
3,87
R,6
4,53
R,6
-2,70
R,22
-2,62
R,59
0,26
R,5
-3,69
R,20
3,87
R,6
4,53
R,6
-2,55
R,6
-2,2
R,28
0,100
0,37
