0,87
R,11
-3,87
R,44
0,32
R,1
2,32
R,1
0,32
R,1
-2,32
R,1
0,48
R,1
-2,16
R,1
-3,32
R,98
8,32
R,1
0,32
R,1
-3,32
R,1
3,32
R,1
-3,32
R,66
-1,32
R,1
1,32
R,1
2,32
R,1
-2,100
0,47
R,16
3,87
R,11
-3,100
0,20
R,11
0,32
R,1
-1,32
R,1
1,32
R,1
2,32
R,1
-2,65
3,32
R,98
0,32
R,1
0,32
R,1
-3,32
R,1
3,32
R,1
-3,32
R,33
0,16
R,1
0,16
R,1
-1,32
R,1
1,32
R,1
2,32
R,1
-2,87
R,76
0,54
R,11
7,33
-2,32
R,1
0,33
-2,32
R,1
0,33
-1,32
R,1
0,48
R,1
3,48
R,1
-2,49
-1,16
-2,32
R,98
3,32
R,1
0,32
R,1
-3,32
R,1
3,32
R,1
-3,32
R,33
0,32
R,1
-1,32
R,1
1,32
R,1
2,32
R,1
-2,87
R,76
0,54
R,11
7,33
-2,32
R,1
0,33
-2,32
R,1
0,54
R,11
7,48
R,1
-2,48
R,1
-1,49
-2,16
-2,32
R,66
-3,32
R,1
0,32
R,1
3,32
R,1
0,32
R,1
2,32
R,1
0,32
R,1
2,32
R,1
0,32
R,1
3,48
R,1
2,48
R,1
0,64
R,1
-12,32
R,1
3,32
R,1
2,32
R,1
2,87
R,11
1,100
0,20
R,11
-5,32
R,1
-1,48
R,1
3,48
R,1
-2,87
R,100
0,9
4,32
R,1
0,32
R,1
-2,32
R,1
0,32
R,1
-2,32
R,33
-3,32
R,1
-1,48
R,1
6,48
R,1
-2,64
R,1
-3,32
R,1
3,32
R,1
2,32
R,1
2,87
R,11
1,87
R,11
-5,32
R,1
0,32
R,1
7,48
R,1
-2,48
R,1
-1,49
-2,16
-2,32
R,66
4,32
R,1
1,32
R,1
-1,32
R,1
1,32
R,1
-1,32
R,1
-2,32
R,1
-2,32
R,1
-3,32
R,1
-1,48
R,1
3,48
R,1
-2,87
R,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,20
3,87
R,11
-3,87
R,44
0,32
R,1
2,32
R,1
0,32
R,1
-2,32
R,1
0,48
R,1
-2,16
R,1
-3,32
R,98
8,32
R,1
0,32
R,1
-3,32
R,1
3,32
R,1
-3,32
R,66
-1,32
R,1
1,32
R,1
2,32
R,1
-2,100
0,47
R,16
3,87
R,11
-3,100
0,20
R,11
0,32
R,1
-1,32
R,1
1,32
R,1
2,32
R,1
-2,65
3,32
R,98
0,32
R,1
0,32
R,1
-3,32
R,1
3,32
R,1
-3,32
R,33
0,16
R,1
0,16
R,1
-1,32
R,1
1,32
R,1
2,32
R,1
-2,87
R,76
0,54
R,11
7,33
