0,100
0,100
0,100
0,61
R,76
0,10
R,1
0,10
R,1
0,20
R,1
0,20
R,1
3,41
R,1
-1,20
R,1
-2,41
R,1
0,20
R,1
3,42
-1,62
R,1
-2,20
R,1
2,41
R,1
0,41
R,1
1,20
R,1
-1,42
-2,41
R,1
0,20
R,1
0,20
R,1
0,20
R,1
0,100
0,100
0,29
R,100
0,100
0,40
0,10
R,1
0,10
R,1
0,10
R,1
3,41
R,1
-1,41
R,1
-2,20
R,1
3,42
-1,62
R,1
-2,20
R,1
2,62
R,1
0,20
R,1
1,62
R,1
-1,21
-2,90
R,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,14
0,100
0,94
R,14
-2,21
2,20
R,1
-2,21
2,90
R,100
0,18
0,20
R,1
3,20
R,1
-1,82
R,1
-2,20
R,1
3,20
R,1
-1,82
R,1
-2,20
R,1
3,20
R,1
-1,82
R,1
-2,20
R,1
3,41
R,1
-1,69
R,56
4,20
R,1
-1,20
R,1
0,20
R,1
-2,20
R,42
3,20
R,1
-1,20
R,1
0,20
R,1
-2,20
R,42
2,20
R,1
0,20
R,1
-2,20
R,1
2,20
R,1
0,41
R,1
0,41
R,1
0,41
R,1
2,41
R,1
-7,41
R,1
3,100
0,67
-1,83
1,21
-1,21
-2,100
0,11
R,56
6,20
R,1
-1,20
R,1
0,20
R,1
-2,20
R,42
3,20
R,1
-1,20
R,1
0,20
R,1
-2,20
R,42
2,20
R,1
0,20
R,1
-2,20
R,1
2,20
R,1
0,41
R,1
0,41
R,1
0,41
R,1
2,41
R,1
-7,41
R,1
3,100
0,53
R,14
-1,100
0,3
R,1
-2,20
R,1
0,100
0,3
R,1
-2,20
R,1
2,100
0,100
0,29
R,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,58
0,10
R,1
0,10
R,1
0,20
R,1
0,20
R,1
3,41
R,1
-1,69
R,100
0,39
-2,100
0,100
0,29
R,100
0,100
0,8
0,20
R,1
0,20
R,1
0,20
R,1
3,41
R,1
-1,20
R,1
-2,62
R,1
3,42
-1,62
R,1
-2,20
R,1
2,41
R,1
0,41
R,1
1,20
R,1
-1,42
-2,21
0,62
R,1
0,20
R,1
0,100
0,100
0,29
R,100
0,100
0,8
0,10
R,1
0,10
R,1
0,20
R,1
0,20
R,1
3,41
R,1
-1,62
R,1
-2,20
R,1
3,20
R,1
-1,82
R,1
-2,20
R,1
2,41
R,1
0,41
R,1
1,20
R,1
-1,41
R,1
-2,90
R,100
0,100
0,100
0,100
0,93
0,20
R,1
3,20
R,1
-1,82
R,1
-2,20
R,1
3,20
R,1
-1,82
R,1
-2,20
R,1
3,20
R,1
-1,82
R,1
-2,20
R,1
3,20
R,1
-1,90
R,56
4,20
R,1
-1,20
R,1
0,20
R,1
-2,20
R,42
3,20
R,1
-1,20
R,1
0,20
R,1
-2,20
R,42
2,20
R,1
0,20
R,1
-2,20
R,1
2,20
R,1
0,41
R,1
0,41
R,1
0,41
R,1
2,41
R,1
-7,41
R,1
3,100
0,67
-1,83
1,21
-1,21
-2,100
0,11
R,56
6,20
R,1
-1,20
R,1
0,20
R,1
-2,20
R,42
3,20
R,1
-1,20
R,1
0,20
R,1
-2,20
R,42
2,20
R,1
0,20
R,1
-2,20
R,1
2,20
R,1
0,41
R,1
0,41
R,1
0,41
R,1
2,41
R,1
-7,41
R,1
3,100
0,53
R,14
-1,100
0,3
R,1
-2,20
R,1
0,100
0,3
R,1
-2,20
R,1
2,100
0,100
0,29
R,21
3,100
0,3
R,1
-1,20
R,1
0,100
0,3
R,1
-2,20
R,1
0,42
7,42
0,42
0,42
0,69
R,100
0,100
0,85
-7,20
R,1
0,41
R,1
2,41
R,1
1,41
R,1
-3,20
R,1
0,20
R,1
2,20
R,1
0,20
R,1
1,41
R,1
-3,69
R,56
0,41
R,1
7,41
R,1
0,100
0,66
R,100
0,100
0,100
0,76
-7,41
R,1
2,41
R,1
1,41
R,1
-3,20
R,1
0,20
R,1
2,41
R,1
1,41
R,1
-3,69
R,35
0,20
R,1
0,41
R,1
7,20
R,1
0,20
R,1
0,21
-2,21
2,100
0,67
-2,21
-2,21
-1,62
0,62
0,42
0,42
0,42
R,42
0,42
0,42
0,69
R,97
4,20
R,1
-1,20
R,1
0,20
R,1
-2,20
R,42
3,20
R,1
-1,20
R,1
0,20
R,1
-2,20
R,42
2,20
R,1
0,20
R,1
-2,20
R,1
2,20
R,1
0,41
R,1
0,41
R,1
0,41
R,1
2,41
R,1
-7,41
R,1
3,100
0,67
-1,100
0,25
-2,100
0,11
R,56
6,20
R,1
-1,20
R,1
0,20
R,1
-2,20
R,42
3,20
R,1
-1,20
R,1
0,20
R,1
-2,20
R,42
2,20
R,1
0,20
R,1
-2,20
R,1
2,20
R,1
0,41
R,1
0,41
R,1
0,41
R,1
2,41
R,1
-7,41
R,1
3,100
0,53
R,14
-1,100
0,3
R,1
-2,20
R,1
0,100
0,3
R,1
-2,20
R,1
2,41
R,1
6,20
R,1
-1,20
R,1
0,20
R,1
-2,20
R,42
3,20
R,1
-1,20
R,1
0,20
R,1
-2,20
R,42
2,20
R,1
0,20
R,1
-2,20
R,1
2,20
R,1
0,41
R,1
0,41
R,1
0,41
R,1
2,41
R,1
-7,41
R,1
3,100
0,67
-1,100
0,25
-2,100
0,11
R,56
6,20
R,1
-1,20
R,1
0,20
R,1
-2,20
R,42
3,20
R,1
-1,20
R,1
0,20
R,1
-2,20
R,42
2,20
R,1
0,20
R,1
-2,20
R,1
2,20
R,1
0,41
R,1
0,41
R,1
0,41
R,1
2,41
R,1
-7,41
R,1
3,82
R,84
-1,100
0,3
R,1
-2,20
R,1
0,100
0,3
R,1
-2,20
R,1
2,100
0,100
0,29
R,21
3,100
0,3
R,1
-1,20
R,1
0,100
0,3
R,1
-2,20
R,1
0,41
R,1
7,100
0,53
