0,100
0,100
0,84
R,47
-2,54
R,1
3,54
R,1
-1,100
0,100
0,84
R,47
-2,54
R,1
3,53
R,2
-1,82
R,1
-4,100
0,100
0,1
R,47
0,54
R,1
2,54
R,1
-2,100
0,100
0,12
R,100
0,100
0,1
7,54
R,1
0,8
R,19
0,25
R,2
-3,16
R,11
3,8
R,19
0,25
R,2
-3,16
R,11
3,8
R,6
0,8
R,6
0,39
R,2
0,27
R,1
-3,16
R,11
3,27
R,1
2,40
R,1
-4,27
R,1
-1,16
R,38
3,8
R,19
0,25
R,2
-3,16
R,11
3,8
R,19
0,25
R,2
-3,16
R,11
3,8
R,19
0,27
R,1
-3,8
R,6
3,27
R,1
-3,16
R,11
3,27
R,1
2,40
R,1
-4,27
R,1
-1,16
R,66
0,10
R,4
0,21
R,6
1,27
R,1
-1,15
R,27
0,80
R,57
0,6
R,8
0,7
R,6
1,10
R,4
-1,14
R,14
1,27
R,1
-1,68
R,1
0,100
0,18
R,100
0,100
0,12
3,79
R,31
0,8
R,19
0,25
R,2
-3,16
R,11
3,8
R,19
0,25
R,2
-3,16
R,11
3,8
R,6
-3,8
R,6
3,27
R,1
-3,8
R,6
3,27
R,1
0,16
R,11
-3,13
R,1
3,27
R,1
2,27
R,1
-4,27
R,1
-1,28
R,13
3,3
R,11
0,8
R,19
0,25
R,2
-3,16
R,11
3,8
R,19
0,25
R,2
-3,16
R,11
3,8
R,6
0,3
R,11
0,27
R,1
-3,8
R,6
3,27
R,1
-3,16
R,11
3,27
R,1
2,40
R,1
-4,27
R,1
-1,16
R,52
0,10
R,4
0,10
R,4
0,21
R,6
1,27
R,1
-1,15
R,13
1,27
R,1
-1,15
R,13
3,27
R,1
-7,27
R,1
0,27
R,1
0,27
R,1
2,68
R,1
2,40
R,1
0,100
0,85
R,100
0,4
-9,27
R,1
0,25
R,2
5,25
R,2
2,51
R,4
2,100
0,9
R,100
0,100
0,21
-9,27
R,1
5,27
R,1
2,20
R,35
2,54
R,1
-2,52
R,3
-2,50
R,6
2,52
R,3
-2,73
R,64
0,10
R,18
0,27
R,1
2,26
R,2
2,34
R,21
-2,82
R,84
3,54
R,1
-1,50
R,6
-4,50
R,6
2,50
R,6
-2,100
0,10
R,100
0,100
0,20
-5,25
R,2
5,25
R,2
2,51
R,4
2,100
0,9
R,100
0,100
0,21
-9,27
R,1
5,27
R,1
2,20
R,35
2,54
R,1
-2,52
R,3
-2,50
R,6
0,27
R,1
2,24
R,3
-2,73
R,37
-5,27
R,1
5,26
R,2
0,27
R,1
2,26
R,2
2,34
R,21
-2,82
R,84
3,54
R,1
-1,50
R,6
-4,50
R,6
2,50
R,6
-2,100
0,10
R,100
0,100
0,20
4,100
0,21
R,44
3,8
R,19
0,25
R,2
-3,16
R,11
3,8
R,19
0,25
R,2
-3,16
R,11
3,8
R,6
0,8
R,6
0,27
R,1
-3,8
R,6
3,27
R,1
-3,16
R,11
3,27
R,1
2,40
R,1
-4,27
R,1
-1,16
R,38
3,8
R,19
0,25
R,2
-3,16
R,11
3,8
R,19
0,25
R,2
-3,16
R,25
3,11
R,3
0,27
R,1
-3,8
R,6
3,27
R,1
-3,16
R,11
3,27
R,1
2,40
R,1
-4,27
R,1
-1,16
R,66
0,10
R,4
0,21
R,6
1,27
R,1
-1,15
R,27
0,80
R,57
0,6
R,8
0,7
R,6
1,10
R,4
-1,14
R,14
1,27
R,1
2,95
R,1
-3,100
0,64
R,100
0,39
8,54
R,1
0,13
R,15
0,27
R,1
-1,10
R,18
0,27
R,1
-2,9
R,18
0,27
R,1
-2,12
R,16
0,27
R,1
-2,24
R,3
-1,27
R,1
1,27
R,1
2,27
R,1
-7,83
R,27
12,13
R,15
0,27
R,1
-1,10
R,18
0,27
R,1
-2,9
R,18
0,27
R,1
-2,12
R,16
0,27
R,1
-2,24
R,3
-1,27
R,1
1,27
R,1
2,27
R,1
-7,83
R,27
7,27
R,1
-3,27
R,15
0,10
R,4
3,10
R,4
-3,27
R,1
3,27
R,1
-3,27
R,1
3,27
R,1
-3,27
R,1
3,27
R,1
0,27
R,1
2,27
R,1
3,27
R,1
2,54
R,1
-2,13
R,1
4,13
R,1
3,40
R,1
-3,82
R,1
-2,13
R,1
-2,95
R,1
2,13
R,1
2,34
R,35
-21,27
R,1
0,25
R,2
5,25
R,2
2,51
R,4
2,100
0,9
R,100
0,100
0,21
-9,27
R,1
5,27
R,1
2,20
R,35
2,54
R,1
-2,52
R,3
-2,50
R,6
2,52
R,3
-2,73
R,64
0,10
R,18
0,27
R,1
2,26
R,2
2,34
R,21
-2,82
R,84
3,54
R,1
-1,50
R,6
-4,50
R,6
2,50
R,6
-2,100
0,10
R,100
0,100
0,20
-5,25
R,2
5,25
R,2
2,51
R,4
2,100
0,9
R,100
0,100
0,21
-9,27
R,1
5,27
R,1
2,20
R,35
2,54
R,1
-2,52
R,3
-2,50
R,6
0,27
R,1
2,24
R,3
-2,73
R,37
-5,27
R,1
5,26
R,2
0,27
R,1
2,26
R,2
2,34
R,21
-2,82
R,84
3,54
R,1
-1,50
R,6
-4,50
R,6
2,50
R,6
-2,100
0,10
R,100
0,93
0,27
R,1
2,54
R,1
-2,54
R,1
7,100
0,100
0,63
R,40
-7,27
R,1
2,47
R,8
-2,47
R,8
7,100
0,9
R,1
-3,100
0,92
R,56
-4,27
R,1
0,27
R,1
2,23
R,5
2,42
R,13
-2,100
0,28
R,38
3,50
R,6
-1,47
R,8
-4,51
R,4
2,45
R,10
-2,100
0,86
R,100
0,17
-5,27
R,1
0,25
R,2
5,25
R,2
7,51
R,4
-3,100
0,9
R,100
0,100
0,21
-9,27
R,1
5,27
R,1
2,20
R,35
2,54
R,1
-2,52
R,3
-2,50
R,6
2,52
R,3
-2,73
R,64
0,10
R,18
0,27
R,1
2,26
R,2
2,34
R,21
-2,82
R,84
3,54
R,1
-1,50
R,6
-4,50
R,6
2,50
