0,38
R,2
0,38
R,2
0,18
R,2
-2,18
R,2
2,38
R,2
0,18
R,2
-2,18
R,2
2,18
R,2
-2,18
R,2
-2,38
R,2
4,38
R,2
1,18
R,2
0,99
R,100
0,100
0,5
-3,38
R,2
0,38
R,2
0,18
R,2
-2,18
R,2
2,18
R,2
-2,18
R,2
2,38
R,2
0,18
R,2
-2,18
R,2
-3,38
R,2
5,38
R,2
2,18
R,2
0,99
R,100
0,100
0,5
0,38
R,2
0,38
R,2
0,18
R,2
-2,18
R,2
2,38
R,2
0,18
R,2
-2,18
R,2
2,18
R,2
-2,18
R,2
-2,38
R,2
4,38
R,2
1,18
R,2
2,38
R,2
-2,59
R,2
-1,38
R,2
-2,100
0,20
R,42
0,38
R,2
0,38
R,2
0,18
R,2
-2,18
R,2
2,18
R,2
-2,59
R,42
2,18
R,2
-2,18
R,2
2,38
R,2
2,18
R,2
-4,59
R,2
-1,38
R,2
1,38
R,2
2,38
R,2
-5,38
R,2
2,38
R,2
13,79
R,2
-1,79
R,2
-2,38
R,2
-2,79
R,2
4,100
0,100
0,1
R,100
0,100
0,5
-6,38
R,2
0,38
R,2
0,38
R,2
0,38
R,2
0,38
R,2
0,38
R,2
-1,38
R,2
1,18
R,2
-1,99
R,2
-4,38
R,2
9,38
R,2
-2,18
R,2
-3,18
R,2
3,38
R,2
2,18
R,2
-5,18
R,2
0,18
R,2
-2,100
0,40
R,42
-7,38
R,2
2,38
R,2
3,38
R,2
4,100
0,40
R,2
5,38
R,2
0,18
R,2
-2,18
R,2
-3,18
R,2
3,38
R,2
2,18
R,2
-5,38
R,2
-2,100
0,40
R,22
-7,18
R,2
2,18
R,2
7,38
R,2
-2,18
R,2
2,38
R,2
-4,79
R,63
9,38
R,2
0,18
R,2
-2,18
R,2
0,38
R,2
5,38
R,2
-3,18
R,2
0,18
R,2
-2,18
R,2
0,18
R,2
0,38
R,2
5,38
R,2
-3,38
R,2
-2,38
R,2
0,18
R,2
0,38
R,2
-2,38
R,2
-1,18
R,2
-2,18
R,2
2,18
R,2
3,59
R,2
2,79
R,2
-2,38
R,2
0,38
R,2
5,38
R,2
-8,18
R,2
-2,18
R,2
-2,79
R,2
-3,18
R,2
3,18
R,2
2,18
R,2
2,18
R,2
-2,18
R,2
-2,18
R,2
2,18
R,2
-2,18
R,2
0,100
0,100
0,1
R,100
0,100
0,100
0,100
0,100
0,29
