0,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
0,28
R,7
-1,28
R,7
0,28
R,7
-2,93
R,17
0,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
0,28
R,7
0,28
R,7
2,28
R,7
-4,28
R,7
-3,41
R,28
8,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
0,36
R,7
-1,28
R,7
0,28
R,7
-2,69
R,35
0,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
0,28
R,7
0,28
R,7
0,16
R,1
2,15
R,2
1,60
R,43
4,34
-2,69
5,34
-8,34
0,34
-2,92
R,17
0,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
-2,34
2,34
2,34
-7,52
R,17
12,34
-2,69
5,69
-8,34
-2,80
R,34
0,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
-2,34
2,39
2,17
1,46
R,17
-5,34
-5,69
5,14
R,3
0,14
R,3
0,14
R,21
0,14
R,21
0,14
R,3
0,14
R,5
-1,55
R,17
1,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
0,28
R,7
2,28
R,7
2,28
R,7
-4,28
R,7
-3,41
3,34
-5,69
5,14
R,3
0,14
R,3
0,14
R,21
0,14
R,21
0,14
R,3
0,14
R,3
0,24
R,10
0,34
2,34
2,17
1,48
R,17
-1,34
-2,34
-2,34
-3,34
2,34
1,34
7,69
-3,69
-2,92
R,35
-2,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
2,34
2,34
-2,34
-2,34
-3,34
2,38
1,34
5,69
-1,69
-7,17
2,100
0,34
R,35
-2,69
2,69
6,17
R,17
0,14
R,3
0,14
R,3
0,34
-1,34
-5,61
R,67
0,14
R,3
3,20
R,3
0,14
R,3
0,14
R,3
0,14
R,3
2,34
-2,34
-5,82
R,34
3,9
R,8
0,9
R,8
0,9
R,8
0,9
R,8
0,9
R,8
-1,14
R,3
1,34
R,18
-3,14
R,3
2,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
0,34
-2,34
0,34
2,34
1,34
7,69
-3,69
-2,80
R,100
0,4
0,14
R,3
0,14
R,3
0,14
R,21
2,34
-2,34
-5,44
2,34
1,34
7,80
-3,69
-2,92
R,86
-2,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
2,14
R,3
-2,14
R,3
-3,34
R,77
8,17
R,3
0,14
R,3
0,14
R,3
0,14
R,3
0,28
R,7
-1,28
R,7
0,28
R,7
-2,94
R,17
0,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
0,35
R,7
0,28
R,7
2,28
R,7
-4,28
R,7
-3,41
R,28
8,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
0,28
R,7
-1,28
R,7
0,28
R,7
-2,69
R,35
0,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
0,28
R,7
0,28
R,7
0,15
R,2
2,15
R,2
1,60
R,43
4,42
-2,69
5,34
-8,34
0,34
-2,86
R,17
0,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
-2,34
2,42
2,34
-7,52
R,17
12,42
-2,69
5,69
-8,48
-2,69
R,34
0,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
-2,34
2,41
2,17
1,34
R,17
-5,34
-5,69
5,14
R,3
0,14
R,3
0,14
R,21
0,14
R,21
0,14
R,3
0,14
R,3
-1,52
R,17
1,18
R,3
0,17
R,3
0,14
R,3
0,14
R,3
0,28
R,7
2,28
R,7
2,28
R,7
-4,28
R,7
-3,34
3,34
-5,76
5,14
R,3
0,14
R,3
0,14
R,21
0,14
R,21
0,14
R,3
0,14
R,3
0,24
R,10
0,34
2,41
2,17
1,34
R,17
-1,34
-2,34
-2,34
-3,34
2,34
1,34
7,87
-3,69
-2,69
R,35
-2,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
2,42
2,34
-2,34
-2,34
-3,34
2,34
1,34
5,79
-1,69
-7,17
2,100
0,20
R,35
-2,69
2,69
6,21
R,19
0,14
R,3
0,14
R,3
0,34
-1,34
-5,54
R,67
0,14
R,3
3,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
2,34
-2,34
-5,69
R,34
3,9
R,9
0,9
R,8
0,9
R,8
0,9
R,8
0,9
R,8
-1,14
R,3
1,34
R,18
-3,14
R,3
2,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
0,34
-2,34
0,34
2,34
1,34
7,69
-3,69
-2,69
R,100
0,4
0,17
R,3
0,14
R,3
0,14
R,21
2,34
-2,34
-5,34
2,34
1,34
7,82
-3,69
-2,69
R,86
-2,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
0,14
R,3
2,14
R,3
-2,14
R,3
-3,34
