0,25
R,6
2,25
R,4
3,54
R,6
-1,25
R,96
-4,25
R,3
2,25
R,4
3,54
R,7
-1,25
R,95
-4,25
R,4
2,25
R,7
3,54
R,4
-1,54
R,5
-2,54
R,4
-2,54
R,2
2,54
R,100
0,31
-2,25
R,6
2,25
R,4
3,54
R,6
-1,25
R,96
-4,25
R,3
2,25
R,4
3,54
R,7
-1,25
R,95
-4,25
R,4
2,25
R,7
3,54
R,4
-1,54
R,5
-2,54
R,4
-2,54
R,2
2,54
R,100
0,31
-2,25
R,7
0,25
R,7
11,54
R,5
1,54
R,62
-12,25
R,6
0,25
R,5
11,54
R,4
-2,54
R,97
-9,25
R,5
5,54
R,4
-1,54
R,5
-2,54
R,6
-2,54
R,5
2,54
R,99
10,25
R,4
2,25
R,6
-2,25
R,6
5,54
R,6
-1,54
R,7
-2,54
R,6
-2,54
R,6
0,54
R,92
0,25
R,4
2,25
R,6
-2,25
R,6
5,54
R,6
-1,54
R,7
-2,54
R,6
-2,54
R,6
2,54
R,32
0,25
R,4
-2,25
R,5
2,25
R,5
-2,54
R,8
4,54
R,100
0,100
0,74
-2,25
R,4
-2,25
R,5
2,25
R,5
2,54
R,5
1,54
R,5
-1,54
R,100
0,100
0,48
-4,25
R,6
0,25
R,3
2,25
R,5
-2,25
R,4
5,54
R,7
-1,54
R,5
-2,54
R,6
-2,54
R,8
2,54
R,93
-2,25
R,3
2,25
R,5
-2,25
R,4
5,54
R,7
-1,54
R,5
-2,54
R,6
-2,54
R,8
2,54
R,35
0,25
R,5
-2,25
R,4
2,25
R,6
2,54
R,7
-2,54
R,6
-2,54
R,100
0,100
0,13
2,25
R,5
-2,25
R,4
2,25
R,6
2,54
R,7
1,54
R,6
-1,54
R,100
0,100
0,100
0,3
-16,25
R,4
2,25
R,5
3,54
R,5
-1,54
R,67
-4,25
R,5
2,25
R,7
0,54
R,7
2,54
R,61
-4,25
R,6
2,25
R,6
3,54
R,5
-1,54
R,5
-2,54
R,5
-2,54
R,4
2,54
R,100
0,27
-2,25
R,5
2,25
R,5
3,54
R,6
-1,54
R,67
3,54
R,4
-5,40
R,7
-2,9
R,4
2,25
R,100
0,26
-2,25
R,4
2,54
R,6
2,54
R,5
-2,54
R,5
5,54
R,6
0,54
R,100
0,25
0,25
R,7
0,25
R,7
4,54
R,7
1,54
R,61
2,25
R,5
-2,25
R,4
-1,54
R,4
1,54
R,67
-5,25
R,6
0,25
R,6
5,54
R,6
2,54
R,6
2,54
R,5
-2,54
R,7
0,54
R,94
-2,25
R,4
2,25
R,6
-2,25
R,6
5,54
R,6
-1,54
R,7
-2,54
R,6
-2,54
R,6
0,54
R,92
0,25
R,4
2,25
R,6
-2,25
R,6
5,54
R,6
-1,54
R,7
-2,54
R,6
-2,54
R,6
2,54
R,32
0,25
R,4
-2,25
R,5
2,25
R,5
-2,54
R,8
4,54
R,100
0,100
0,74
-2,25
R,4
-2,25
R,5
2,25
R,5
2,54
R,5
1,54
R,5
-1,54
R,100
0,100
0,48
-4,25
R,6
0,25
R,3
2,25
R,5
-2,25
R,4
5,54
R,7
-1,54
R,5
-2,54
R,6
-2,54
R,8
2,54
R,93
-2,25
R,3
2,25
R,5
-2,25
R,4
5,54
R,7
-1,54
R,5
-2,54
R,6
-2,54
R,8
2,54
R,35
0,25
R,5
-2,25
R,4
2,25
R,6
2,54
R,7
-2,54
R,6
-2,54
R,100
0,100
0,13
2,25
R,5
-2,25
R,4
2,25
R,6
2,54
R,7
1,54
R,6
-1,54
R,100
0,100
0,100
0,100
0,22
-2,54
R,6
0,54
R,7
0,54
R,7
0,54
R,4
-2,25
R,5
2,25
R,5
-2,25
R,4
4,36
R,7
-4,42
R,5
-3,25
R,65
5,25
R,5
-2,25
R,4
4,36
R,7
-4,42
R,5
-3,25
R,4
-2,42
R,50
0,53
R,6
5,25
R,5
-1,25
R,62
3,54
R,6
0,54
R,7
0,54
R,7
0,54
R,4
-2,25
R,5
2,25
R,5
-2,25
R,4
4,36
R,7
-4,42
R,5
-3,25
R,100
0,55
3,25
R,6
2,25
R,6
-2,25
R,3
2,25
R,5
-2,25
R,4
2,25
R,6
-2,25
R,5
4,38
R,5
-4,41
R,5
-1,54
R,100
0,100
0,100
0,35
1,25
R,4
2,25
R,6
-2,25
R,6
5,54
R,6
-1,54
R,7
-2,54
R,6
-2,54
R,6
0,54
R,92
0,25
R,4
2,25
R,6
-2,25
R,6
5,54
R,6
-1,54
R,7
-2,54
R,6
-2,54
R,6
2,54
R,32
0,25
R,4
-2,25
R,5
2,25
R,5
-2,54
R,8
4,54
R,100
0,100
0,74
-2,25
R,4
-2,25
R,5
2,25
R,5
2,54
R,5
1,54
R,5
-1,54
R,69
3,54
R,8
0,54
R,94
-7,25
R,3
2,25
R,5
-2,25
R,4
12,54
R,7
-1,54
R,5
-2,54
R,6
-2,54
R,8
0,54
R,93
-7,25
R,3
2,25
R,5
-2,25
R,4
9,54
R,7
-2,54
R,5
-3,54
R,6
3,54
R,8
0,54
R,35
-5,25
R,5
-2,25
R,4
2,25
R,6
2,54
R,7
1,54
R,6
-1,54
R,100
0,100
0,13
-2,25
R,5
-2,25
R,4
2,25
R,6
2,54
R,7
1,54
R,6
2,54
R,100
0,100
0,14
-5,25
R,3
-2,25
R,4
2,25
R,6
2,54
R,7
-2,54
R,6
-2,54
R,100
0,100
0,13
2,25
R,5
-2,25
R,4
2,25
R,6
2,54
R,7
1,54
R,6
-1,54
R,100
0,100
0,14
-2,25
R,3
-2,25
R,6
2,25
R,5
2,54
R,6
-2,54
R,6
-2,54
