0,24
R,2
1,24
R,2
0,49
R,2
0,75
R,2
0,24
R,2
-1,24
R,2
1,49
R,2
2,49
R,2
-2,24
R,28
0,24
R,2
-1,24
R,2
1,49
R,2
0,49
R,28
0,24
R,2
0,24
R,2
-1,24
R,2
1,49
R,2
2,49
R,2
-2,24
R,2
-1,24
R,2
1,24
R,2
-3,75
R,100
0,82
3,24
R,2
0,24
R,2
0,24
R,2
-1,24
R,2
0,24
R,2
-4,24
R,2
0,24
R,2
0,24
R,2
2,49
R,100
0,100
0,100
0,10
2,24
R,2
1,49
R,2
0,75
R,2
0,24
R,2
0,24
R,2
-1,24
R,2
1,24
R,2
0,24
R,2
2,49
R,2
-2,24
R,53
-1,24
R,2
1,49
R,2
0,49
R,2
0,24
R,2
0,24
R,2
0,24
R,2
-1,24
R,2
1,49
R,2
2,49
R,2
-2,24
R,2
-1,24
R,2
1,24
R,2
-3,49
R,100
0,100
0,58
3,24
R,2
-1,24
R,2
-4,24
R,2
0,75
R,2
2,75
R,100
0,100
0,58
3,24
R,2
-1,24
R,2
1,24
R,2
0,24
R,2
0,24
R,2
0,49
R,2
0,24
R,2
0,24
R,2
-1,24
R,2
1,49
R,2
2,49
R,2
-2,24
R,2
0,24
R,2
0,24
R,2
-1,24
R,2
1,24
R,2
0,24
R,28
0,24
R,2
0,24
R,2
0,24
R,2
0,24
R,2
7,24
R,2
-2,49
R,2
-1,24
R,28
-2,24
R,2
2,24
R,2
-2,24
R,2
2,24
R,2
-2,24
R,2
2,24
R,2
0,24
R,2
0,49
R,2
-4,24
R,28
2,24
R,2
0,24
R,2
0,24
R,2
0,49
R,2
-2,49
R,2
4,24
R,2
1,24
R,2
-1,100
0,52
R,79
0,24
R,2
0,49
R,2
-4,75
R,2
0,24
R,2
0,24
R,2
5,49
R,2
-1,49
R,2
-4,49
R,2
0,24
R,2
2,24
R,2
0,24
R,2
-2,24
R,2
4,24
R,2
-4,24
R,2
2,49
R,2
-2,49
R,2
2,49
R,2
2,49
R,2
-2,49
R,2
-2,24
R,2
2,24
R,2
0,24
R,2
-2,24
R,2
4,24
R,2
-4,24
R,2
2,49
R,2
-2,49
R,2
2,24
R,2
-2,24
R,2
4,49
R,2
-2,49
R,2
-2,49
R,2
2,24
R,2
-2,24
R,2
4,49
R,2
-2,49
R,2
-2,24
R,2
0,24
R,2
2,49
R,2
2,24
R,2
-2,24
R,2
2,49
R,2
0,24
R,2
-2,24
R,2
2,49
R,2
0,29
R,22
-4,49
R,100
0,100
0,100
0,87
2,24
R,2
0,24
R,2
2,49
R,2
0,75
R,2
0,24
R,2
0,24
R,2
-2,24
R,2
0,24
R,2
2,24
R,2
1,49
R,2
-1,24
R,53
-2,24
R,2
2,49
R,2
0,75
R,2
0,24
R,2
0,24
R,2
-2,24
R,2
2,24
R,2
0,24
R,2
1,49
R,2
-1,24
R,2
-2,24
R,2
2,24
R,2
-4,49
R,100
0,82
0,24
R,2
0,24
R,2
0,24
R,2
0,24
R,2
-1,24
R,2
0,24
R,2
-4,24
R,2
0,24
R,2
0,24
R,2
2,100
0,26
R,2
2,72
R,28
5,24
R,28
0,24
R,2
-2,16
R,10
-2,24
R,2
-1,24
R,2
1,24
R,2
0,24
R,2
