0,39
R,4
8,14
R,7
-1,17
R,25
0,17
R,47
-12,39
R,4
8,82
R,4
-5,17
R,4
2,17
R,4
0,39
R,4
0,39
R,4
-2,39
R,4
-5,17
R,4
2,17
R,4
0,17
R,4
3,17
R,4
-10,17
R,4
2,17
R,4
8,17
R,4
5,17
R,47
-3,39
R,4
8,17
R,4
-1,17
R,25
0,17
R,47
-12,39
R,4
8,82
R,4
-3,39
R,4
-2,39
R,4
5,39
R,4
-8,17
R,4
3,17
R,4
5,100
0,67
R,4
2,17
R,4
2,17
R,4
0,17
R,4
0,17
R,4
-2,39
R,4
0,17
R,4
0,17
R,4
-2,39
R,4
0,39
R,4
-1,39
R,4
-4,17
R,4
0,17
R,4
0,17
R,4
2,17
R,4
0,17
R,4
0,17
R,4
0,39
R,4
-2,39
R,4
-3,39
R,25
3,17
R,47
0,39
R,4
9,39
R,4
0,39
R,4
-2,39
R,4
0,39
R,4
-2,39
R,4
0,39
R,4
-1,39
R,4
-4,17
R,4
2,60
R,4
3,100
0,100
0,53
R,47
4,39
R,4
0,39
R,4
-2,39
R,4
0,39
R,4
3,82
R,4
-1,39
R,4
-9,39
R,4
2,39
R,4
0,39
R,4
0,39
R,4
-2,39
R,4
-3,100
0,67
R,4
12,39
R,4
0,39
R,4
-2,39
R,4
0,39
R,4
-2,39
R,4
0,39
R,4
-1,39
R,4
-4,39
R,4
2,39
R,4
3,39
R,4
2,39
R,4
2,17
R,4
-7,100
0,67
R,100
0,11
3,82
R,4
2,82
R,4
2,82
R,4
3,100
0,25
R,4
-3,17
R,4
-2,60
R,4
2,17
R,4
-2,60
R,4
-2,17
R,4
-3,100
0,3
R,4
3,82
R,4
2,82
R,4
2,82
R,4
3,100
0,24
R,4
-3,17
R,4
-2,60
R,4
2,17
R,4
-2,60
R,4
-2,17
R,4
-3,100
0,3
R,4
3,82
R,4
2,82
R,4
2,82
R,4
3,100
0,67
R,4
-5,39
R,4
2,17
R,4
-2,39
R,4
-2,17
R,4
0,17
R,26
-3,100
0,67
R,4
2,100
0,67
R,4
-2,39
R,4
3,39
R,4
2,39
R,4
2,17
R,4
-7,100
0,67
R,25
7,17
R,4
1,60
R,4
0,17
R,4
-1,60
R,4
-5,17
R,4
1,60
R,4
0,82
R,4
-5,17
R,4
2,60
R,4
0,39
R,4
-2,39
R,4
-5,17
R,4
2,17
R,4
0,17
R,4
3,17
R,4
-10,17
R,4
2,17
R,4
8,39
R,4
9,17
R,4
1,60
R,4
0,17
R,4
-1,60
R,4
-5,18
R,4
1,60
R,4
0,82
R,4
0,82
R,4
0,39
R,4
-5,39
R,4
5,100
0,67
R,4
4,39
R,4
0,39
R,4
-2,39
R,4
0,39
R,4
-2,39
R,4
0,39
R,4
-1,39
R,4
-4,39
R,4
0,17
R,4
2,17
R,4
0,17
R,4
0,17
R,4
0,39
R,4
-2,39
R,4
-3,100
0,67
R,4
12,39
R,4
0,39
R,4
-2,39
R,4
0,39
R,4
-2,39
R,4
0,39
R,4
-1,17
R,4
-2,17
R,4
-2,39
R,4
2,39
R,4
3,100
0,100
