0,73
R,2
-5,23
R,2
5,23
R,2
0,23
R,2
0,23
R,2
2,23
R,2
-3,73
R,52
-4,23
R,2
0,23
R,2
0,23
R,2
5,23
R,2
0,23
R,2
0,23
R,2
2,23
R,2
2,48
R,2
-9,23
R,2
0,23
R,2
5,35
R,2
0,35
R,2
2,23
R,2
2,48
R,2
-4,48
R,2
0,73
R,2
-5,23
R,2
5,23
R,2
0,23
R,2
0,23
R,2
2,23
R,2
-3,73
R,52
-4,23
R,2
0,23
R,2
0,23
R,2
5,23
R,2
0,23
R,2
0,23
R,2
2,23
R,2
2,48
R,2
-9,23
R,2
2,100
0,98
R,27
3,73
R,2
-5,23
R,2
5,23
R,2
0,23
R,2
0,23
R,2
2,23
R,2
-3,73
R,52
-4,23
R,2
0,23
R,2
0,23
R,2
5,23
R,2
0,23
R,2
0,23
R,2
2,23
R,2
2,48
R,2
-9,23
R,2
0,23
R,2
5,35
R,2
0,36
R,2
2,23
R,2
2,48
R,2
-4,48
R,2
0,73
R,2
-5,23
R,2
5,23
R,2
0,23
R,2
0,23
R,2
2,23
R,2
-3,48
R,2
-4,73
R,2
0,23
R,2
0,23
R,2
0,23
R,2
5,23
R,2
0,23
R,2
0,23
R,2
2,23
R,2
2,48
R,2
-9,23
R,2
0,23
R,2
5,35
R,2
0,35
R,2
2,23
R,2
2,48
R,2
-4,48
R,2
-3,48
R,2
3,48
R,2
2,48
R,2
2,48
R,2
-7,48
R,2
3,48
R,2
2,48
R,2
2,48
R,2
-2,23
R,2
0,23
R,2
0,23
R,2
0,23
R,2
0,23
R,2
2,23
R,2
-2,23
R,2
-2,23
R,2
-5,98
R,100
0,2
2,48
R,2
3,48
R,2
2,48
R,2
2,48
R,2
-7,48
R,2
3,23
R,2
0,23
R,2
0,23
R,2
0,23
R,2
-3,23
R,2
7,48
R,2
-2,98
R,27
-7,23
R,2
0,23
R,2
5,48
R,2
2,48
R,2
-2,48
R,100
0,2
0,48
R,2
2,48
R,2
-2,48
