63,87
R,11
60,87
R,44
60,32
R,1
62,32
R,1
62,32
R,1
60,32
R,1
60,48
R,1
58,16
R,1
55,32
R,98
63,32
R,1
63,32
R,1
60,32
R,1
63,32
R,1
60,32
R,66
59,32
R,1
60,32
R,1
62,32
R,1
60,100
60,47
R,16
63,87
R,11
60,100
60,20
R,11
60,32
R,1
59,32
R,1
60,32
R,1
62,32
R,1
60,65
63,32
R,98
63,32
R,1
63,32
R,1
60,32
R,1
63,32
R,1
60,32
R,33
60,16
R,1
60,16
R,1
59,32
R,1
60,32
R,1
62,32
R,1
60,87
R,76
60,54
R,11
67,33
65,32
R,1
65,33
63,32
R,1
63,33
62,32
R,1
62,48
R,1
65,48
R,1
63,49
62,16
60,32
R,98
63,32
R,1
63,32
R,1
60,32
R,1
63,32
R,1
60,32
R,33
60,32
R,1
59,32
R,1
60,32
R,1
62,32
R,1
60,87
R,76
60,54
R,11
67,33
65,32
R,1
65,33
63,32
R,1
63,54
R,11
70,48
R,1
68,48
R,1
67,49
65,16
63,32
R,66
60,32
R,1
60,32
R,1
63,32
R,1
63,32
R,1
65,32
R,1
65,32
R,1
67,32
R,1
67,32
R,1
70,48
R,1
72,48
R,1
72,64
R,1
60,32
R,1
63,32
R,1
65,32
R,1
67,87
R,11
68,100
68,20
R,11
63,32
R,1
62,48
R,1
65,48
R,1
63,87
R,100
R,9
67,32
R,1
67,32
R,1
65,32
R,1
65,32
R,1
63,32
R,33
60,32
R,1
59,48
R,1
65,48
R,1
63,64
R,1
60,32
R,1
63,32
R,1
65,32
R,1
67,87
R,11
68,87
R,11
63,32
R,1
63,32
R,1
70,48
R,1
68,48
R,1
67,49
65,16
63,32
R,66
67,32
R,1
68,32
R,1
67,32
R,1
68,32
R,1
67,32
R,1
65,32
R,1
63,32
R,1
60,32
R,1
59,48
R,1
62,48
R,1
60,87
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,20
63,87
R,11
60,87
R,44
60,32
R,1
62,32
R,1
62,32
R,1
60,32
R,1
60,48
R,1
58,16
R,1
55,32
R,98
63,32
R,1
63,32
R,1
60,32
R,1
63,32
R,1
60,32
R,66
59,32
R,1
60,32
R,1
62,32
R,1
60,100
60,47
R,16
63,87
R,11
60,100
60,20
R,11
60,32
R,1
59,32
R,1
60,32
R,1
62,32
R,1
60,65
63,32
R,98
63,32
R,1
63,32
R,1
60,32
R,1
63,32
R,1
60,32
R,33
60,16
R,1
60,16
R,1
59,32
R,1
60,32
R,1
62,32
R,1
60,87
R,76
60,54
R,11
67,33
65,32
R,1
65,33
63,32
R,1
63,54
R,11
70,48
R,1
68,48
R,1
67,49
65,16
63,32
R,66
60,32
R,1
60,32
R,1
63,32
R,1
63,32
R,1
65,32
R,1
65,32
R,1
67,32
R,1
67,32
R,1
70,48
R,1
72,48
R,1
72,64
R,1
60,32
R,1
63,32
R,1
65,32
R,1
67,87
R,11
68,100
68,20
R,11
63,32
R,1
62,48
R,1
65,48
R,1
63,87
R,100
R,9
67,32
R,1
67,32
R,1
65,32
R,1
65,32
R,1
63,32
R,33
60,32
R,1
59,48
R,1
65,48
R,1
63,64
R,1
60,32
R,1
63,32
R,1
65,32
R,1
67,87
R,11
68,87
R,11
63,32
R,1
63,32
R,1
70,48
R,1
68,48
R,1
67,49
65,16
63,32
R,66
67,32
R,1
68,32
R,1
67,32
R,1
68,32
R,1
67,32
R,1
65,32
R,1
63,32
R,1
60,32
R,1
59,48
R,1
62,48
R,1
60,87
R,76
70,87
R,11
70,87
R,44
65,32
R,1
65,48
R,1
67,48
R,1
63,100
63,47
R,49
70,32
R,1
70,32
R,1
70,32
R,1
70,32
R,1
63,32
R,33
63,32
R,1
65,48
R,1
67,48
R,1
67,49
65,16
63,32
R,66
70,87
R,11
70,87
R,11
66,32
R,1
66,32
R,1
73,48
R,1
71,48
R,1
70,48
R,1
68,16
R,1
66,87
R,22
71,32
R,1
71,32
R,1
73,54
R,11
71,32
R,50
70,16
R,1
70,100
70,100
70,12
R,100
R,100
R,100
R,6
60,32
R,1
63,32
R,1
65,32
R,1
67,30
R,2
67,54
R,11
68,64
R,1
63,54
R,11
58,64
R,1
67,54
R,11
65,64
R,1
63,87
R,44
67,32
R,1
67,32
R,1
65,32
R,1
65,32
R,1
63,32
R,33
60,32
R,1
59,48
R,1
65,48
R,1
63,64
R,1
60,33
62,33
65,32
R,1
67,87
R,11
68,87
R,11
63,32
R,1
63,32
R,1
70,48
R,1
68,48
R,1
67,49
65,16
63,32
R,66
67,32
R,1
68,32
R,1
67,32
R,1
68,32
R,1
67,32
R,1
65,32
R,1
63,32
R,1
60,32
R,1
59,48
R,1
62,48
R,1
60,64
R,1
60,32
R,1
63,32
R,1
65,32
R,1
67,31
R,2
67,54
R,11
68,64
R,1
63,54
R,11
58,64
R,1
67,54
R,11
65,64
R,1
63,87
R,44
67,32
R,1
67,32
R,1
65,32
R,1
65,32
R,1
63,32
R,33
60,32
R,1
59,48
R,1
65,48
R,1
63,64
R,1
60,33
62,33
65,32
R,1
67,87
R,11
68,87
R,11
63,32
R,1
63,32
R,1
70,48
R,1
68,48
R,1
67,49
65,16
63,32
R,66
67,32
R,1
68,32
R,1
67,32
R,1
68,32
R,1
67,32
R,1
65,32
R,1
63,32
R,1
60,32
R,1
59,48
R,1
62,48
R,1
60,87
R,76
67,32
R,1
68,32
R,1
67,32
R,1
68,32
R,1
67,32
R,1
65,32
R,1
63,32
R,1
60,32
R,1
59,48
R,1
62,48
R,1
60,64
