58,21
R,17
58,20
R,18
58,22
R,3
60,69
R,7
58,8
R,5
55,11
R,1
58,100
58,76
R,27
58,28
R,10
58,25
R,13
58,15
R,10
60,72
R,4
58,8
R,4
55,15
R,11
58,100
58,74
R,16
58,20
R,18
58,18
R,20
58,13
R,12
60,75
R,1
58,10
R,3
60,8
R,5
58,100
58,88
R,16
58,20
R,5
56,6
R,20
58,22
R,3
56,18
R,7
58,67
R,9
56,9
R,3
58,11
R,1
56,100
56,86
R,18
56,25
R,13
56,20
R,18
56,14
R,12
58,70
R,6
56,7
R,6
58,9
R,3
56,100
56,86
R,17
56,24
R,14
56,17
R,22
56,12
R,14
56,75
R,1
55,8
R,5
53,12
56,25
R,1
55,100
55,62
R,15
55,26
R,12
55,24
R,15
55,11
R,14
55,67
R,9
53,8
R,5
55,10
R,2
53,100
53,83
R,20
53,74
R,2
51,8
R,5
50,11
R,1
53,73
R,3
51,6
R,7
53,10
R,2
51,100
51,85
R,18
58,21
R,17
58,20
R,18
58,22
R,3
60,69
R,7
58,8
R,5
55,11
R,1
58,100
58,76
R,27
58,28
R,10
58,25
R,13
58,15
R,10
60,72
R,4
58,8
R,4
55,15
R,11
58,100
58,74
R,16
58,20
R,18
58,18
R,20
58,13
R,12
60,75
R,1
58,10
R,3
60,8
R,5
58,100
58,87
R,16
58,20
R,5
56,6
R,20
58,22
R,3
56,18
R,7
58,67
R,9
56,9
R,3
58,11
R,1
56,100
56,86
R,18
56,25
R,13
56,20
R,18
56,14
R,12
58,70
R,6
56,7
R,6
58,9
R,3
56,100
56,86
R,17
56,24
R,14
56,17
R,22
56,12
R,14
56,75
R,1
55,8
R,5
53,12
56,25
R,1
55,100
55,62
R,15
55,26
R,12
55,24
R,15
55,11
R,14
55,67
R,9
53,8
R,5
55,10
R,2
53,100
53,83
R,20
53,74
R,2
51,8
R,5
50,11
R,1
53,73
R,3
51,6
R,7
53,10
R,2
51,100
51,85
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,98
67,31
R,19
67,31
R,20
67,30
R,20
67,69
R,7
60,46
R,5
62,24
R,2
63,17
R,8
65,24
R,2
67,12
R,14
67,43
R,8
65,41
R,10
63,21
R,5
62,19
R,6
63,16
R,10
65,74
R,3
58,42
R,9
60,21
R,4
62,20
R,5
63,11
R,14
65,7
R,18
65,39
R,12
63,36
R,15
62,22
R,4
60,16
R,9
62,17
R,8
63,73
R,3
56,100
56,1
R,26
63,3
R,22
63,44
R,7
62,46
R,5
63,19
R,7
62,46
R,5
60,100
60,100
60,47
R,8
67,37
R,14
67,32
R,19
67,20
R,34
67,58
R,16
60,46
R,5
62,24
R,2
63,17
R,8
65,24
R,2
67,12
R,14
67,43
R,8
65,41
R,10
63,21
R,5
62,19
R,6
63,16
R,10
65,74
R,3
58,42
R,9
60,21
R,4
62,20
R,5
63,11
R,14
65,7
R,19
65,39
R,12
63,36
R,15
62,21
R,4
60,16
R,9
62,17
R,8
63,73
R,3
65,71
R,5
60,67
R,10
62,61
R,16
63,31
R,19
60,36
R,15
63,64
R,12
65,100
65,24
R,3
58,56
R,45
58,21
R,17
58,20
R,18
58,22
R,3
60,69
R,7
58,8
R,5
55,11
R,1
58,100
58,76
R,27
58,28
R,10
58,25
R,13
58,15
R,10
60,72
R,4
58,8
R,4
55,15
R,11
58,100
58,74
R,16
58,20
R,18
58,18
R,20
58,13
R,12
60,75
R,1
58,10
R,2
60,8
R,5
58,100
58,87
R,16
58,20
R,5
56,6
R,20
58,22
R,3
56,18
R,7
58,67
R,9
56,9
R,3
58,11
R,1
56,100
56,86
R,18
56,25
R,13
56,20
R,18
56,14
R,12
58,70
R,6
56,7
R,6
58,9
R,3
56,100
56,86
R,17
56,24
R,14
56,17
R,21
56,12
R,14
56,75
R,1
55,8
R,5
53,12
56,25
R,1
55,100
55,62
R,15
55,26
R,12
55,24
R,15
55,11
R,14
55,67
R,9
53,8
R,5
55,10
R,2
53,100
53,83
R,20
53,74
R,2
51,8
R,5
50,11
R,1
53,73
R,3
51,6
R,7
53,10
R,2
51,100
51,85
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,84
67,31
R,19
67,31
R,20
67,30
R,20
67,69
R,7
60,46
R,5
62,24
R,2
63,17
R,8
65,24
R,2
67,12
R,14
67,43
R,8
65,41
R,10
63,21
R,5
62,19
R,6
63,16
R,9
65,73
R,3
58,42
R,9
60,21
R,4
62,20
R,5
63,12
R,14
65,7
R,19
65,39
R,12
63,36
R,15
62,21
R,4
60,16
R,9
62,17
R,8
63,73
R,3
56,100
56,1
R,26
63,3
R,22
63,44
R,7
62,46
R,5
63,19
R,7
62,46
R,5
60,100
60,100
60,47
R,8
67,37
R,14
67,32
R,19
67,20
R,31
67,69
R,7
60,46
R,5
62,24
R,2
63,17
R,8
65,24
R,2
67,12
R,14
67,43
R,8
65,41
R,10
63,21
R,5
62,19
R,6
63,16
R,10
65,73
R,3
58,42
R,9
60,21
R,4
62,20
R,5
63,12
R,14
65,7
R,19
65,39
R,12
63,36
R,15
62,21
R,4
60,16
R,9
62,17
R,8
63,73
R,3
56,100
56,1
R,26
63,3
R,22
63,44
R,7
62,46
R,5
63,19
R,7
62,46
R,5
60,100
60,100
60,47
R,8
67,37
R,14
67,32
R,19
67,20
R,31
67,69
R,7
60,46
R,5
62,24
R,2
63,17
R,8
65,24
R,2
67,12
R,14
67,43
R,8
65,41
R,10
63,21
R,5
62,19
R,6
63,16
R,10
65,73
R,3
58,42
R,9
60,21
R,4
62,20
R,5
63,11
R,14
65,7
R,19
65,39
R,12
63,36
R,15
62,22
R,4
60,16
R,9
62,17
R,8
63,73
R,3
56,100
56,1
R,26
63,4
R,22
63,44
R,7
62,46
R,5
63,19
R,7
62,46
R,5
60,100
60,100
60,47
R,8
67,37
R,14
67,32
R,19
67,20
