55,3
R,1
58,28
R,1
55,28
R,1
58,54
R,1
58,28
R,1
55,28
R,1
58,32
R,1
60,54
R,1
60,98
R,100
R,39
53,25
R,1
60,28
R,1
60,25
R,1
58,32
R,1
60,61
R,1
62,80
R,1
62,36
R,1
60,100
60,16
R,1
58,28
R,1
58,28
R,1
55,25
R,1
58,32
R,1
55,25
R,1
58,28
R,1
55,28
R,1
58,32
R,1
60,72
R,1
55,14
R,1
53,25
R,1
51,54
R,37
55,48
R,10
58,54
R,1
58,28
R,1
57,83
R,1
58,83
R,100
R,100
R,15
58,25
R,1
55,32
R,1
58,54
R,1
58,32
R,1
55,25
R,1
58,28
R,1
60,54
R,1
60,100
60,14
R,100
R,23
53,28
R,1
60,28
R,1
60,25
R,1
58,28
R,1
60,65
R,1
62,78
R,10
62,48
R,10
60,39
R,1
58,47
R,1
55,28
R,1
58,28
R,1
55,25
R,1
58,32
R,1
60,78
R,10
62,32
R,1
60,61
R,1
58,47
R,1
55,87
R,1
55,58
R,1
58,58
R,1
58,28
R,1
57,87
R,1
58,52
R,72
53,54
R,1
58,28
R,1
60,28
R,1
62,25
R,1
60,32
R,1
58,28
R,1
55,58
R,1
53,78
R,13
58,100
58,3
R,10
53,48
R,10
62,48
R,10
60,78
R,10
55,28
R,1
60,28
R,1
60,28
R,1
60,28
R,1
59,28
R,1
60,78
R,10
55,28
R,1
60,28
R,1
60,28
R,1
60,28
R,1
62,28
R,1
62,78
R,39
62,28
R,1
60,28
R,1
62,28
R,1
64,28
R,1
60,78
R,10
60,28
R,1
60,48
R,10
52,48
R,10
53,48
R,39
64,28
R,1
64,28
R,1
62,28
R,1
62,28
R,1
60,28
R,1
60,48
R,68
67,28
R,1
65,28
R,1
65,28
R,1
64,28
R,1
62,48
R,39
62,28
R,1
62,48
R,10
64,48
R,10
62,47
R,1
57,60
R,68
57,28
R,1
59,28
R,1
60,48
R,10
60,48
R,10
59,48
R,10
59,48
R,10
60,48
R,100
R,100
R,43
58,25
R,1
55,32
R,1
58,54
R,1
58,32
R,1
55,25
R,1
58,28
R,1
60,54
R,1
60,100
60,14
R,100
R,23
53,28
R,1
60,28
R,1
60,25
R,1
58,28
R,1
60,65
R,1
62,78
R,10
62,48
R,10
60,39
R,1
58,28
R,52
65,28
R,1
62,25
R,1
65,48
R,13
62,54
R,1
63,28
R,1
62,54
R,1
60,58
R,1
61,28
R,1
55,25
R,37
58,100
58,2
R,15
62,48
R,10
60,54
R,1
58,36
R,1
55,14
R,1
53,28
R,44
53,54
R,1
58,28
R,1
60,28
R,1
62,25
R,1
60,32
R,1
58,28
R,1
55,58
R,1
53,78
R,13
58,100
58,3
R,10
53,48
R,10
62,48
R,10
60,78
R,10
55,28
R,1
60,28
R,1
60,28
R,1
60,28
R,1
59,28
R,1
60,78
R,10
55,28
R,1
60,28
R,1
60,28
R,1
60,28
R,1
62,28
R,1
62,78
R,39
62,28
R,1
60,28
R,1
62,28
R,1
64,28
R,1
60,78
R,10
60,28
R,1
60,48
R,10
52,48
R,10
53,48
R,39
64,28
R,1
64,28
R,1
62,28
R,1
62,28
R,1
60,28
R,1
60,48
R,68
67,28
R,1
65,28
R,1
65,28
R,1
64,28
R,1
62,48
R,39
62,28
R,1
62,48
R,10
64,48
R,10
62,47
R,1
57,60
R,68
57,28
R,1
59,28
R,1
60,48
R,10
60,48
R,10
59,48
R,10
59,48
R,10
60,48
R,100
R,100
R,100
R,100
R,100
R,100
R,18
60,32
R,8
65,21
R,1
64,28
R,1
64,28
R,1
62,28
R,1
62,28
R,1
60,28
R,1
60,28
R,1
57,28
R,1
62,39
R,1
60,28
R,1
57,47
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,91
60,28
R,1
62,28
R,1
64,25
R,1
62,32
R,1
60,28
R,1
57,58
R,1
55,78
R,13
60,100
60,3
R,10
55,48
R,10
64,48
R,10
62,72
R,100
R,2
69,48
R,10
67,48
R,10
66,48
R,10
64,48
R,10
64,48
R,10
66,48
R,100
R,26
69,48
R,10
67,48
R,10
66,48
R,10
67,48
R,10
66,48
R,10
64,48
R,10
61,48
R,68
69,48
R,10
67,48
R,10
66,48
R,10
64,48
R,39
62,28
R,1
64,48
R,10
66,48
R,10
64,28
R,1
62,28
R,1
59,28
R,88
59,28
R,1
61,28
R,1
62,48
R,10
62,28
R,1
57,28
R,1
62,28
R,1
62,28
R,1
62,28
R,1
61,28
R,1
62,78
R,10
57,28
R,1
62,28
R,1
62,28
R,1
62,28
R,1
64,28
R,1
64,78
R,39
64,28
R,1
62,28
R,1
64,28
R,1
66,7
R,1
62,87
R,1
62,28
R,1
62,58
R,1
54,58
R,1
55,70
R,17
66,28
R,1
66,28
R,1
64,28
R,1
64,28
R,1
62,28
R,1
62,70
R,46
69,28
R,1
67,28
R,1
67,28
R,1
66,28
R,1
64,70
R,13
64,32
R,1
64,58
R,1
66,58
R,1
64,47
R,1
59,58
R,70
59,28
R,1
61,28
R,1
62,58
R,1
62,58
R,1
61,58
R,1
61,50
R,1
66,65
R,1
69,58
R,1
67,58
R,1
66,58
R,1
64,58
R,1
64,58
R,1
66,70
R,100
R,4
69,58
R,1
67,58
R,1
66,58
R,1
67,58
R,1
66,58
R,1
64,58
R,1
61,70
R,46
69,58
R,1
67,28
R,1
67,28
R,1
66,58
R,1
64,70
R,17
62,28
R,1
64,58
R,1
66,58
R,1
64,28
R,1
62,28
R,1
59,28
R,88
59,28
R,1
61,28
R,1
62,58
R,1
62,58
R,1
61,58
R,1
61,70
R,17
62,100
R,46
59,28
R,1
61,28
R,1
62,58
R,1
62,58
R,1
61,58
R,1
61,58
R,1
62,100
62,87
