52,22
R,1
54,22
R,1
57,22
R,1
57,100
57,100
57,8
R,23
61,22
R,1
62,22
R,1
64,22
R,1
62,45
R,1
61,22
R,1
59,22
R,1
57,22
R,1
59,22
R,1
61,22
R,1
59,35
R,100
R,4
61,22
R,1
62,22
R,1
64,22
R,1
62,45
R,1
61,22
R,1
59,22
R,1
57,45
R,1
59,22
R,1
57,22
R,1
57,100
57,23
R,62
59,68
R,1
57,11
R,1
54,11
R,1
57,45
R,1
54,77
R,100
R,54
52,22
R,1
54,22
R,1
57,22
R,1
57,91
R,1
61,45
R,70
52,22
R,1
61,22
R,1
62,22
R,1
64,22
R,1
62,45
R,1
61,22
R,1
59,22
R,1
57,22
R,1
59,22
R,1
61,22
R,1
59,35
R,100
R,4
61,22
R,1
62,22
R,1
64,22
R,1
62,45
R,1
61,22
R,1
59,22
R,1
57,45
R,1
59,22
R,1
57,22
R,1
57,100
57,23
R,38
57,15
R,8
62,45
R,1
61,45
R,1
59,45
R,1
57,45
R,1
54,77
R,100
R,100
61,22
R,1
62,45
R,1
62,22
R,1
62,68
R,1
62,22
R,1
62,68
R,1
61,22
R,1
66,45
R,1
64,22
R,24
64,22
R,1
64,45
R,1
62,22
R,1
62,68
R,1
61,22
R,1
59,68
R,70
52,22
R,1
57,22
R,1
59,22
R,1
61,45
R,1
62,30
R,1
61,30
R,1
62,30
R,1
61,45
R,47
59,22
R,1
59,22
R,1
57,22
R,1
59,45
R,1
57,22
R,1
54,77
R,62
57,45
R,1
61,77
R,15
59,80
R,1
57,11
R,1
59,22
R,1
57,45
R,1
59,22
R,1
64,77
R,15
62,22
R,1
61,22
R,1
59,22
R,1
57,22
R,1
59,45
R,1
61,45
R,1
57,45
R,24
52,22
R,1
64,77
R,15
62,22
R,1
61,22
R,1
59,22
R,1
57,22
R,1
59,45
R,1
57,45
R,1
54,45
R,47
64,77
R,15
62,22
R,1
61,22
R,1
59,22
R,1
57,22
R,1
59,45
R,1
59,22
R,1
61,22
R,1
62,77
R,62
52,22
