68,15
R,8
68,56
R,2
66,23
R,2
64,23
R,2
68,32
R,1
66,77
R,100
R,100
R,100
R,52
64,23
R,2
66,15
R,2
68,23
R,2
69,65
R,2
68,31
R,2
68,98
R,2
66,73
R,2
66,6
R,2
64,6
R,2
59,65
R,100
R,2
68,15
R,8
68,48
R,2
66,15
R,2
64,31
R,2
68,65
R,2
69,15
R,2
68,48
R,2
66,48
R,2
64,15
R,2
66,15
R,2
68,27
R,2
68,65
R,100
R,19
64,15
R,2
66,15
R,2
68,15
R,2
69,48
R,2
69,15
R,2
68,65
R,2
68,15
R,2
66,65
R,100
R,63
71,35
R,2
69,15
R,2
68,15
R,2
69,15
R,2
71,31
R,2
71,31
R,100
R,2
68,15
R,2
69,15
R,2
71,15
R,8
73,39
R,2
71,55
R,100
R,2
64,15
R,2
66,15
R,2
68,15
R,2
71,48
R,2
71,36
R,19
69,15
R,2
69,15
R,2
69,31
R,2
69,15
R,2
68,15
R,2
69,31
R,2
68,65
R,2
66,65
R,100
R,13
71,35
R,2
69,15
R,2
68,15
R,2
69,15
R,2
71,31
R,2
71,31
R,69
71,15
R,2
68,15
R,2
71,15
R,2
68,15
R,2
71,55
R,2
71,55
R,100
R,2
64,15
R,2
66,15
R,2
68,15
R,2
71,48
R,2
71,36
R,19
69,15
R,2
69,15
R,2
69,31
R,2
69,15
R,2
68,15
R,2
69,31
R,2
68,65
R,2
66,65
R,69
68,48
R,2
66,43
R,35
71,46
R,4
68,45
R,35
73,48
R,2
71,43
R,2
68,31
R,2
66,31
R,2
68,31
R,2
66,27
R,2
64,65
R,100
R,2
64,15
R,2
66,15
R,2
68,31
R,2
69,31
R,2
69,31
R,2
68,55
R,2
68,65
R,2
66,60
R,69
68,48
R,2
66,43
R,35
71,47
R,3
68,45
R,35
73,48
R,2
71,43
R,2
68,31
R,2
66,31
R,2
68,31
R,2
66,27
R,2
64,65
R,100
R,2
64,15
R,2
66,15
R,2
68,31
R,2
69,31
R,2
69,31
R,2
68,55
R,2
68,65
R,2
66,60
R,2
68,27
R,2
64,65
R,85
68,77
R,2
66,65
R,100
R,19
71,77
R,2
68,27
R,2
64,31
R,100
R,35
64,15
R,2
66,15
R,2
68,31
R,2
69,31
R,2
69,31
R,2
68,55
R,2
68,65
R,2
66,60
R,100
R,2
64,15
R,2
66,15
R,2
68,15
R,19
71,15
R,8
71,30
R,2
73,72
