64,100
64,100
64,100
64,61
R,76
64,10
R,1
64,10
R,1
64,20
R,1
64,20
R,1
67,41
R,1
66,20
R,1
64,41
R,1
64,20
R,1
67,42
66,62
R,1
64,20
R,1
66,41
R,1
66,41
R,1
67,20
R,1
66,42
64,41
R,1
64,20
R,1
64,20
R,1
64,20
R,1
64,100
64,100
64,29
R,100
R,100
R,40
64,10
R,1
64,10
R,1
64,10
R,1
67,41
R,1
66,41
R,1
64,20
R,1
67,42
66,62
R,1
64,20
R,1
66,62
R,1
66,20
R,1
67,62
R,1
66,21
64,90
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,14
64,100
64,94
R,14
62,21
64,20
R,1
62,21
64,90
R,100
R,18
64,20
R,1
67,20
R,1
66,82
R,1
64,20
R,1
67,20
R,1
66,82
R,1
64,20
R,1
67,20
R,1
66,82
R,1
64,20
R,1
67,41
R,1
66,69
R,56
70,20
R,1
69,20
R,1
69,20
R,1
67,20
R,42
70,20
R,1
69,20
R,1
69,20
R,1
67,20
R,42
69,20
R,1
69,20
R,1
67,20
R,1
69,20
R,1
69,41
R,1
69,41
R,1
69,41
R,1
71,41
R,1
64,41
R,1
67,100
67,67
66,83
67,21
66,21
64,100
64,11
R,56
70,20
R,1
69,20
R,1
69,20
R,1
67,20
R,42
70,20
R,1
69,20
R,1
69,20
R,1
67,20
R,42
69,20
R,1
69,20
R,1
67,20
R,1
69,20
R,1
69,41
R,1
69,41
R,1
69,41
R,1
71,41
R,1
64,41
R,1
67,100
67,53
R,14
66,100
66,3
R,1
64,20
R,1
64,100
64,3
R,1
62,20
R,1
64,100
64,100
64,29
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,58
64,10
R,1
64,10
R,1
64,20
R,1
64,20
R,1
67,41
R,1
66,69
R,100
R,39
64,100
64,100
64,29
R,100
R,100
R,8
64,20
R,1
64,20
R,1
64,20
R,1
67,41
R,1
66,20
R,1
64,62
R,1
67,42
66,62
R,1
64,20
R,1
66,41
R,1
66,41
R,1
67,20
R,1
66,42
64,21
64,62
R,1
64,20
R,1
64,100
64,100
64,29
R,100
R,100
R,8
64,10
R,1
64,10
R,1
64,20
R,1
64,20
R,1
67,41
R,1
66,62
R,1
64,20
R,1
67,20
R,1
66,82
R,1
64,20
R,1
66,41
R,1
66,41
R,1
67,20
R,1
66,41
R,1
64,90
R,100
R,100
R,100
R,100
R,93
64,20
R,1
67,20
R,1
66,82
R,1
64,20
R,1
67,20
R,1
66,82
R,1
64,20
R,1
67,20
R,1
66,82
R,1
64,20
R,1
67,20
R,1
66,90
R,56
70,20
R,1
69,20
R,1
69,20
R,1
67,20
R,42
70,20
R,1
69,20
R,1
69,20
R,1
67,20
R,42
69,20
R,1
69,20
R,1
67,20
R,1
69,20
R,1
69,41
R,1
69,41
R,1
69,41
R,1
71,41
R,1
64,41
R,1
67,100
67,67
66,83
67,21
66,21
64,100
64,11
R,56
70,20
R,1
69,20
R,1
69,20
R,1
67,20
R,42
70,20
R,1
69,20
R,1
69,20
R,1
67,20
R,42
69,20
R,1
69,20
R,1
67,20
R,1
69,20
R,1
69,41
R,1
69,41
R,1
69,41
R,1
71,41
R,1
64,41
R,1
67,100
67,53
R,14
66,100
66,3
R,1
64,20
R,1
64,100
64,3
R,1
62,20
R,1
64,100
64,100
64,29
R,21
67,100
67,3
R,1
66,20
R,1
66,100
66,3
R,1
64,20
R,1
64,42
71,42
71,42
71,42
71,69
R,100
R,100
R,85
64,20
R,1
64,41
R,1
66,41
R,1
67,41
R,1
64,20
R,1
64,20
R,1
66,20
R,1
66,20
R,1
67,41
R,1
64,69
R,56
64,41
R,1
71,41
R,1
71,100
71,66
R,100
R,100
R,100
R,76
64,41
R,1
66,41
R,1
67,41
R,1
64,20
R,1
64,20
R,1
66,41
R,1
67,41
R,1
64,69
R,35
64,20
R,1
64,41
R,1
71,20
R,1
71,20
R,1
71,21
69,21
71,100
71,67
69,21
67,21
66,62
66,62
66,42
66,42
66,42
R,42
66,42
66,42
66,69
R,97
70,20
R,1
69,20
R,1
69,20
R,1
67,20
R,42
70,20
R,1
69,20
R,1
69,20
R,1
67,20
R,42
69,20
R,1
69,20
R,1
67,20
R,1
69,20
R,1
69,41
R,1
69,41
R,1
69,41
R,1
71,41
R,1
64,41
R,1
67,100
67,67
66,100
66,25
64,100
64,11
R,56
70,20
R,1
69,20
R,1
69,20
R,1
67,20
R,42
70,20
R,1
69,20
R,1
69,20
R,1
67,20
R,42
69,20
R,1
69,20
R,1
67,20
R,1
69,20
R,1
69,41
R,1
69,41
R,1
69,41
R,1
71,41
R,1
64,41
R,1
67,100
67,53
R,14
66,100
66,3
R,1
64,20
R,1
64,100
64,3
R,1
62,20
R,1
64,41
R,1
70,20
R,1
69,20
R,1
69,20
R,1
67,20
R,42
70,20
R,1
69,20
R,1
69,20
R,1
67,20
R,42
69,20
R,1
69,20
R,1
67,20
R,1
69,20
R,1
69,41
R,1
69,41
R,1
69,41
R,1
71,41
R,1
64,41
R,1
67,100
67,67
66,100
66,25
64,100
64,11
R,56
70,20
R,1
69,20
R,1
69,20
R,1
67,20
R,42
70,20
R,1
69,20
R,1
69,20
R,1
67,20
R,42
69,20
R,1
69,20
R,1
67,20
R,1
69,20
R,1
69,41
R,1
69,41
R,1
69,41
R,1
71,41
R,1
64,41
R,1
67,82
R,84
66,100
66,3
R,1
64,20
R,1
64,100
64,3
R,1
62,20
R,1
64,100
64,100
64,29
R,21
67,100
67,3
R,1
66,20
R,1
66,100
66,3
R,1
64,20
R,1
64,41
R,1
71,100
71,53
R,14
69,20
R,1
67,20
R,1
66,62
R,1
66,62
R,1
64,100
64,11
R,100
R,100
R,100
R,26
71,41
R,1
71,20
R,1
71,41
R,1
71,20
R,1
71,42
69,21
71,100
71,100
71,29
