69,100
69,100
69,84
R,47
67,54
R,1
70,54
R,1
69,100
69,100
69,84
R,47
67,54
R,1
70,53
R,2
69,82
R,1
65,100
65,100
65,1
R,47
65,54
R,1
67,54
R,1
65,100
65,100
65,12
R,100
R,100
R,1
72,54
R,1
72,8
R,19
72,25
R,2
69,16
R,11
72,8
R,19
72,25
R,2
69,16
R,11
72,8
R,6
72,8
R,6
72,39
R,2
72,27
R,1
69,16
R,11
72,27
R,1
74,40
R,1
70,27
R,1
69,16
R,38
72,8
R,19
72,25
R,2
69,16
R,11
72,8
R,19
72,25
R,2
69,16
R,11
72,8
R,19
72,27
R,1
69,8
R,6
72,27
R,1
69,16
R,11
72,27
R,1
74,40
R,1
70,27
R,1
69,16
R,66
69,10
R,4
69,21
R,6
70,27
R,1
69,15
R,27
69,80
R,57
69,6
R,8
69,7
R,6
70,10
R,4
69,14
R,14
70,27
R,1
69,68
R,1
69,100
69,18
R,100
R,100
R,12
72,79
R,31
72,8
R,19
72,25
R,2
69,16
R,11
72,8
R,19
72,25
R,2
69,16
R,11
72,8
R,6
69,8
R,6
72,27
R,1
69,8
R,6
72,27
R,1
72,16
R,11
69,13
R,1
72,27
R,1
74,27
R,1
70,27
R,1
69,28
R,13
72,3
R,11
72,8
R,19
72,25
R,2
69,16
R,11
72,8
R,19
72,25
R,2
69,16
R,11
72,8
R,6
72,3
R,11
72,27
R,1
69,8
R,6
72,27
R,1
69,16
R,11
72,27
R,1
74,40
R,1
70,27
R,1
69,16
R,52
69,10
R,4
69,10
R,4
69,21
R,6
70,27
R,1
69,15
R,13
70,27
R,1
69,15
R,13
72,27
R,1
65,27
R,1
65,27
R,1
65,27
R,1
67,68
R,1
69,40
R,1
69,100
69,85
R,100
R,4
60,27
R,1
60,25
R,2
65,25
R,2
67,51
R,4
69,100
69,9
R,100
R,100
R,21
60,27
R,1
65,27
R,1
67,20
R,35
69,54
R,1
67,52
R,3
65,50
R,6
67,52
R,3
65,73
R,64
65,10
R,18
65,27
R,1
67,26
R,2
69,34
R,21
67,82
R,84
70,54
R,1
69,50
R,6
65,50
R,6
67,50
R,6
65,100
65,10
R,100
R,100
R,20
60,25
R,2
65,25
R,2
67,51
R,4
69,100
69,9
R,100
R,100
R,21
60,27
R,1
65,27
R,1
67,20
R,35
69,54
R,1
67,52
R,3
65,50
R,6
65,27
R,1
67,24
R,3
65,73
R,37
60,27
R,1
65,26
R,2
65,27
R,1
67,26
R,2
69,34
R,21
67,82
R,84
70,54
R,1
69,50
R,6
65,50
R,6
67,50
R,6
65,100
65,10
R,100
R,100
R,20
69,100
69,21
R,44
72,8
R,19
72,25
R,2
69,16
R,11
72,8
R,19
72,25
R,2
69,16
R,11
72,8
R,6
72,8
R,6
72,27
R,1
69,8
R,6
72,27
R,1
69,16
R,11
72,27
R,1
74,40
R,1
70,27
R,1
69,16
R,38
72,8
R,19
72,25
R,2
69,16
