76,38
R,2
76,38
R,2
76,18
R,2
74,18
R,2
76,38
R,2
76,18
R,2
74,18
R,2
76,18
R,2
74,18
R,2
72,38
R,2
76,38
R,2
77,18
R,2
77,99
R,100
R,100
R,5
74,38
R,2
74,38
R,2
74,18
R,2
72,18
R,2
74,18
R,2
72,18
R,2
74,38
R,2
74,18
R,2
72,18
R,2
69,38
R,2
74,38
R,2
76,18
R,2
76,99
R,100
R,100
R,5
76,38
R,2
76,38
R,2
76,18
R,2
74,18
R,2
76,38
R,2
76,18
R,2
74,18
R,2
76,18
R,2
74,18
R,2
72,38
R,2
76,38
R,2
77,18
R,2
79,38
R,2
77,59
R,2
76,38
R,2
74,100
74,20
R,42
74,38
R,2
74,38
R,2
74,18
R,2
72,18
R,2
74,18
R,2
72,59
R,42
74,18
R,2
72,18
R,2
74,38
R,2
76,18
R,2
72,59
R,2
71,38
R,2
72,38
R,2
74,38
R,2
69,38
R,2
71,38
R,2
84,79
R,2
83,79
R,2
81,38
R,2
79,79
R,2
83,100
83,100
83,1
R,100
R,100
R,5
77,38
R,2
77,38
R,2
77,38
R,2
77,38
R,2
77,38
R,2
77,38
R,2
76,38
R,2
77,18
R,2
76,99
R,2
72,38
R,2
81,38
R,2
79,18
R,2
76,18
R,2
79,38
R,2
81,18
R,2
76,18
R,2
76,18
R,2
74,100
74,40
R,42
67,38
R,2
69,38
R,2
72,38
R,2
76,100
76,40
R,2
81,38
R,2
81,18
R,2
79,18
R,2
76,18
R,2
79,38
R,2
81,18
R,2
76,38
R,2
74,100
74,40
R,22
67,18
R,2
69,18
R,2
76,38
R,2
74,18
R,2
76,38
R,2
72,79
R,63
81,38
R,2
81,18
R,2
79,18
R,2
79,38
R,2
84,38
R,2
81,18
R,2
81,18
R,2
79,18
R,2
79,18
R,2
79,38
R,2
84,38
R,2
81,38
R,2
79,38
R,2
79,18
R,2
79,38
R,2
77,38
R,2
76,18
R,2
74,18
R,2
76,18
R,2
79,59
R,2
81,79
R,2
79,38
R,2
79,38
R,2
84,38
R,2
76,18
R,2
74,18
R,2
72,79
R,2
69,18
R,2
72,18
R,2
74,18
R,2
76,18
R,2
74,18
R,2
72,18
R,2
74,18
R,2
72,18
R,2
72,100
72,100
72,1
R,100
R,100
R,100
R,100
R,100
R,29
76,38
R,2
76,38
R,2
76,18
R,2
74,18
R,2
76,38
R,2
76,18
R,2
74,18
R,2
76,18
R,2
74,18
R,2
72,38
R,2
76,38
R,2
77,18
R,2
77,99
R,100
R,100
R,5
74,38
R,2
74,38
R,2
74,18
R,2
72,18
R,2
74,18
R,2
72,18
R,2
74,38
R,2
74,18
R,2
72,18
R,2
69,38
R,2
74,38
R,2
76,18
R,2
76,99
R,100
R,24
76,18
R,2
79,18
R,2
81,18
R,2
81,100
81,20
R,2
84,38
R,2
84,18
R,2
83,18
R,2
83,18
R,2
81,38
R,2
79,18
R,2
79,59
R,2
81,38
R,2
81,18
R,2
79,18
R,2
77,79
R,2
76,38
R,2
74,38
R,2
72,18
R,2
69,18
R,43
74,38
R,2
74,38
R,2
74,18
R,2
72,18
R,2
74,18
R,2
72,59
R,42
74,18
R,2
72,18
R,2
74,38
R,2
76,18
R,2
72,59
R,2
71,38
R,2
72,38
R,2
74,38
R,2
69,38
R,2
71,38
R,2
84,79
R,2
83,79
R,2
81,38
R,2
79,79
R,2
83,100
83,100
83,1
R,100
R,100
R,5
77,38
R,2
77,38
R,2
77,38
R,2
77,38
R,2
77,38
R,2
77,38
R,2
76,38
R,2
77,18
R,2
76,99
R,2
72,38
R,2
81,38
R,2
79,18
R,2
76,18
R,2
79,38
R,2
81,18
R,2
76,38
R,2
74,100
74,40
R,42
67,38
R,2
69,38
R,2
72,38
R,2
76,100
76,40
R,2
81,38
R,2
81,18
R,2
79,18
R,2
76,18
R,2
79,38
R,2
81,18
R,2
76,38
R,2
74,100
74,40
R,22
67,18
R,2
69,18
R,2
76,38
R,2
74,18
R,2
76,38
R,2
72,79
R,63
81,38
R,2
81,18
R,2
79,18
R,2
79,38
R,2
84,38
R,2
81,18
R,2
81,18
R,2
79,18
R,2
79,18
R,2
79,38
R,2
84,38
R,2
81,38
R,2
79,38
R,2
79,18
R,2
79,38
R,2
77,38
R,2
76,18
R,2
74,18
R,2
76,18
R,2
79,59
R,2
81,79
R,2
79,38
R,2
79,38
R,2
84,38
R,2
76,18
R,2
74,18
R,2
72,79
R,2
69,18
R,2
72,18
R,2
74,18
R,2
76,18
R,2
74,18
R,2
72,18
R,2
74,18
R,2
72,18
R,2
72,100
72,100
72,1
R,63
72,18
R,2
76,18
R,2
79,59
R,2
81,38
R,2
81,100
81,20
R,42
79,38
R,2
81,18
R,2
79,59
R,2
83,18
R,2
79,99
R,2
76,38
R,2
79,59
R,2
81,59
R,2
79,18
R,2
81,18
R,2
84,100
84,20
R,2
83,18
R,2
84,18
R,2
83,100
83,20
R,2
81,18
R,2
83,18
R,2
81,100
81,40
R,2
79,18
R,2
76,79
R,42
76,38
R,2
74,18
R,2
72,18
R,2
72,18
R,2
69,18
R,2
72,38
R,2
74,38
R,2
74,59
R,2
72,18
R,2
76,38
R,2
74,18
R,2
76,18
R,2
74,18
R,2
72,18
R,2
72,18
R,2
69,18
R,2
72,38
R,2
74,38
R,2
76,59
R,2
72,18
R,2
81,18
R,2
81,38
R,2
82,38
R,2
81,18
R,2
79,18
R,2
76,18
R,2
79,18
R,2
