64,78
R,12
64,11
R,19
64,48
R,12
64,52
R,8
63,52
R,8
64,65
R,55
63,39
R,21
63,57
R,3
64,61
R,59
66,52
R,8
68,83
R,7
69,10
R,5
68,11
R,4
66,94
R,26
64,71
R,19
64,9
R,20
64,39
R,20
64,46
R,14
63,54
R,6
64,47
R,73
64,54
R,6
59,100
59,100
59,55
R,100
R,100
R,25
64,75
R,15
64,1
R,29
64,37
R,23
64,46
R,14
63,54
R,6
64,51
R,69
64,51
R,9
63,51
R,9
64,68
R,52
66,50
R,10
68,79
R,11
69,8
R,7
68,12
R,3
66,100
66,3
R,17
64,71
R,19
64,3
R,27
64,44
R,16
64,53
R,7
63,53
R,7
64,97
R,23
64,54
R,6
59,100
59,100
59,100
59,34
R,50
64,100
64,100
64,33
R,7
66,100
66,100
66,29
R,11
71,100
71,13
R,7
69,52
R,8
68,23
R,7
66,100
66,38
R,12
68,50
R,10
69,23
R,7
68,100
68,39
R,40
66,53
R,7
64,23
R,7
63,53
R,7
64,58
R,62
59,23
R,7
61,100
61,13
R,7
63,8
R,7
61,6
R,9
59,100
59,100
59,71
R,89
64,100
64,100
64,29
R,11
66,100
66,73
R,7
59,53
R,7
71,100
71,13
R,7
69,53
R,7
68,23
R,7
66,100
66,39
R,11
68,45
R,15
69,52
R,8
68,100
68,11
R,9
66,53
R,7
64,53
R,7
63,50
R,10
64,100
64,13
R,7
63,47
R,13
63,50
R,10
64,100
64,9
R,11
66,53
R,7
68,83
R,7
69,8
R,7
68,8
R,7
66,79
R,11
64,8
R,7
63,6
R,9
61,100
61,100
61,5
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,55
64,78
R,12
64,11
R,19
64,48
R,12
64,52
R,8
63,53
R,7
64,65
R,55
63,39
R,21
63,57
R,3
64,61
R,59
66,52
R,8
68,82
R,8
69,10
R,5
68,11
R,4
66,94
R,26
64,71
R,19
64,9
R,21
64,39
R,20
64,46
R,14
63,54
R,6
64,47
R,73
64,54
R,6
59,100
59,100
59,55
R,100
R,100
R,25
64,76
R,14
64,5
R,25
64,42
R,18
64,43
R,17
63,53
R,7
64,37
R,83
64,50
R,10
63,51
R,9
64,54
R,66
66,47
R,13
68,80
R,10
69,8
R,7
68,8
R,7
66,100
66,7
R,13
64,75
R,15
64,5
R,25
64,44
R,16
64,48
R,12
63,47
R,13
64,49
R,100
R,1
68,8
R,7
66,8
R,7
59,100
59,100
59,68
R,100
R,100
R,12
64,100
64,100
64,33
R,7
66,100
66,73
R,7
59,53
R,7
71,100
71,13
R,7
69,53
R,7
68,47
R,13
68,52
R,8
66,53
R,7
68,52
R,8
69,21
R,9
68,100
68,42
R,8
66,53
R,7
64,53
R,7
63,53
R,7
64,100
64,40
R,10
63,8
R,7
64,8
R,7
63,83
R,7
64,8
R,7
63,7
R,8
59,100
59,100
59,74
R,86
64,100
64,100
64,32
R,8
66,100
66,73
R,7
59,53
R,7
71,100
71,13
R,7
69,53
R,7
68,53
R,7
66,100
66,13
R,7
68,53
R,7
69,53
R,7
68,100
68,73
R,7
66,22
R,8
64,23
R,7
63,53
R,7
64,100
64,13
R,7
63,44
R,16
63,53
R,7
64,100
64,9
R,11
66,53
R,7
68,83
R,7
69,8
R,7
68,8
R,7
66,90
R,30
64,98
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,22
68,100
68,100
68,28
R,12
70,100
70,73
R,7
63,52
R,8
75,83
R,7
73,77
R,13
72,53
R,7
70,100
70,7
R,13
72,53
R,7
73,21
R,9
72,38
R,7
73,8
R,7
72,8
R,7
70,6
R,9
72,53
R,7
70,53
R,7
68,22
R,8
67,100
67,43
R,7
68,52
R,8
63,22
R,8
65,100
65,89
R,21
65,8
R,7
63,8
R,7
61,3
R,12
65,8
R,7
63,100
63,100
63,17
R,23
68,100
68,100
68,33
R,7
70,100
70,73
R,7
63,53
R,7
75,100
75,9
R,11
73,53
R,7
72,23
R,7
70,100
70,28
R,22
72,47
R,13
73,53
R,7
72,100
72,8
R,12
70,53
R,7
68,23
R,7
67,83
R,7
68,60
R,90
68,23
R,7
67,53
R,7
68,51
R,54
70,31
R,14
72,63
R,27
72,100
72,12
R,8
73,8
R,7
72,8
R,7
70,8
R,7
67,8
R,7
68,100
68,100
68,100
68,100
68,52
R,100
R,100
R,100
R,100
R,18
72,53
R,7
70,23
R,7
68,100
68,100
68,20
R,100
R,100
R,100
R,100
R,100
R,100
R,20
70,100
70,100
70,100
70,15
R,15
71,8
R,7
70,8
R,7
68,100
68,100
68,100
68,100
68,100
68,100
68,100
68,100
68,100
68,74
