61,24
R,2
62,24
R,2
62,49
R,2
62,75
R,2
62,24
R,2
61,24
R,2
62,49
R,2
64,49
R,2
62,24
R,28
62,24
R,2
61,24
R,2
62,49
R,2
62,49
R,28
62,24
R,2
62,24
R,2
61,24
R,2
62,49
R,2
64,49
R,2
62,24
R,2
61,24
R,2
62,24
R,2
59,75
R,100
R,82
62,24
R,2
62,24
R,2
62,24
R,2
61,24
R,2
61,24
R,2
57,24
R,2
57,24
R,2
57,24
R,2
59,49
R,100
R,100
R,100
R,10
61,24
R,2
62,49
R,2
62,75
R,2
62,24
R,2
62,24
R,2
61,24
R,2
62,24
R,2
62,24
R,2
64,49
R,2
62,24
R,53
61,24
R,2
62,49
R,2
62,49
R,2
62,24
R,2
62,24
R,2
62,24
R,2
61,24
R,2
62,49
R,2
64,49
R,2
62,24
R,2
61,24
R,2
62,24
R,2
59,49
R,100
R,100
R,58
62,24
R,2
61,24
R,2
57,24
R,2
57,75
R,2
59,75
R,100
R,100
R,58
62,24
R,2
61,24
R,2
62,24
R,2
62,24
R,2
62,24
R,2
62,49
R,2
62,24
R,2
62,24
R,2
61,24
R,2
62,49
R,2
64,49
R,2
62,24
R,2
62,24
R,2
62,24
R,2
61,24
R,2
62,24
R,2
62,24
R,28
62,24
R,2
62,24
R,2
62,24
R,2
62,24
R,2
69,24
R,2
67,49
R,2
66,24
R,28
64,24
R,2
66,24
R,2
64,24
R,2
66,24
R,2
64,24
R,2
66,24
R,2
66,24
R,2
66,49
R,2
62,24
R,28
64,24
R,2
64,24
R,2
64,24
R,2
64,49
R,2
62,49
R,2
66,24
R,2
67,24
R,2
66,100
66,52
R,79
66,24
R,2
66,49
R,2
62,75
R,2
62,24
R,2
62,24
R,2
67,49
R,2
66,49
R,2
62,49
R,2
62,24
R,2
64,24
R,2
64,24
R,2
62,24
R,2
66,24
R,2
62,24
R,2
64,49
R,2
62,49
R,2
64,49
R,2
66,49
R,2
64,49
R,2
62,24
R,2
64,24
R,2
64,24
R,2
62,24
R,2
66,24
R,2
62,24
R,2
64,49
R,2
62,49
R,2
64,24
R,2
62,24
R,2
66,49
R,2
64,49
R,2
62,49
R,2
64,24
R,2
62,24
R,2
66,49
R,2
64,49
R,2
62,24
R,2
62,24
R,2
64,49
R,2
66,24
R,2
64,24
R,2
66,49
R,2
66,24
R,2
64,24
R,2
66,49
R,2
66,29
R,22
62,49
R,100
R,100
R,100
R,87
64,24
R,2
64,24
R,2
66,49
R,2
66,75
R,2
66,24
R,2
66,24
R,2
64,24
R,2
64,24
R,2
66,24
R,2
67,49
R,2
66,24
R,53
64,24
R,2
66,49
R,2
66,75
R,2
66,24
R,2
66,24
R,2
64,24
R,2
66,24
R,2
66,24
R,2
67,49
R,2
66,24
R,2
64,24
R,2
66,24
R,2
62,49
R,100
R,82
62,24
R,2
62,24
R,2
62,24
R,2
62,24
R,2
61,24
R,2
61,24
R,2
57,24
R,2
57,24
R,2
57,24
R,2
59,100
59,26
R,2
61,72
R,28
66,24
R,28
66,24
R,2
64,16
R,10
62,24
R,2
61,24
R,2
62,24
R,2
62,24
R,2
62,24
R,2
62,24
R,2
62,24
R,2
62,24
R,2
62,24
R,2
61,24
R,2
62,49
R,2
64,49
R,2
62,24
R,2
62,24
R,2
62,24
R,2
61,24
R,2
62,24
R,2
62,24
R,28
62,24
R,2
62,24
R,2
62,24
R,2
62,24
R,2
69,24
R,2
67,49
R,2
66,24
R,28
64,24
R,2
66,24
R,2
66,24
R,2
66,24
R,2
66,24
R,2
66,24
R,2
66,24
R,2
66,24
R,2
64,24
R,2
64,24
R,2
62,24
R,2
64,24
R,2
64,24
R,2
64,24
R,2
64,49
R,2
62,49
R,2
66,24
R,2
67,24
R,2
66,100
66,52
R,79
66,24
R,2
66,49
R,2
64,75
R,2
62,24
R,2
62,24
R,2
67,49
R,2
66,49
R,2
62,49
R,2
62,24
R,2
64,24
R,2
64,24
R,2
62,24
R,2
66,24
R,2
62,24
R,2
64,49
R,2
62,49
R,2
64,49
R,2
66,49
R,2
64,49
R,2
62,24
R,2
64,24
R,2
64,24
R,2
62,24
R,2
66,24
R,2
62,24
R,2
64,49
R,2
62,49
R,2
64,24
R,2
62,24
R,2
66,49
R,2
64,49
R,2
62,49
R,2
64,24
R,2
62,24
R,2
66,49
R,2
64,49
R,2
62,24
R,2
62,24
R,2
66,24
R,2
64,24
R,2
66,49
R,2
66,49
R,2
66,24
R,2
64,24
R,2
66,49
R,2
66,20
R,6
64,24
R,2
62,49
R,2
62,24
R,2
62,24
R,2
67,49
R,2
66,49
R,2
62,24
R,2
62,24
R,2
62,24
R,2
64,24
R,2
64,24
R,2
62,24
R,2
66,24
R,2
62,24
R,2
64,49
R,28
69,24
R,2
69,24
R,2
67,24
R,2
67,21
R,5
66,24
R,2
69,49
R,28
64,24
R,2
64,24
R,2
62,24
R,2
69,49
R,2
64,24
R,2
62,24
R,2
62,49
R,2
64,24
R,2
62,24
R,2
66,49
R,2
64,49
R,2
62,24
R,2
64,24
R,2
64,24
R,2
62,24
R,2
66,49
R,2
64,49
R,2
62,24
R,2
62,24
R,2
64,24
R,28
66,24
R,2
64,24
R,2
66,49
R,2
66,24
R,2
64,24
R,2
66,49
R,2
66,22
R,4
64,24
R,2
62,49
R,100
R,100
R,100
R,35
66,24
R,28
64,75
R,2
66,49
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,28
66,24
R,2
64,24
R,2
62,24
R,2
61,24
R,2
61,75
R,2
62,100
62,1
R,100
R,30
61,24
R,2
62,24
R,2
62,24
R,2
62,24
R,2
64,24
R,2
66,24
R,2
66,24
R,2
66,24
R,2
66,24
R,2
67,24
R,2
66,24
R,2
64,75
R,28
64,24
R,2
66,24
R,2
62,24
R,2
62,24
R,2
61,24
R,79
67,100
R,2
66,100
66,1
R,79
62,24
R,2
62,24
R,2
66,24
R,2
66,24
R,2
66,24
R,2
66,24
R,2
69,32
R,2
64,32
R,2
64,32
R,2
64,49
R,28
64,24
R,2
64,49
R,2
62,49
R,2
62,24
R,2
62,24
R,2
67,49
R,2
66,49
R,2
62,49
R,2
62,24
R,2
64,24
R,2
64,24
R,2
62,24
R,2
66,24
R,2
62,24
R,2
64,49
R,2
62,49
R,2
64,49
R,2
66,49
R,2
64,49
R,2
62,24
R,2
64,24
R,2
64,24
R,2
62,24
R,2
66,24
R,2
62,24
R,2
64,24
R,2
64,24
R,2
62,49
R,2
64,24
R,2
62,24
R,2
66,49
R,2
64,24
R,2
62,24
R,2
62,49
R,2
64,24
R,2
62,24
R,2
66,49
R,2
64,49
R,2
62,49
R,2
64,24
R,2
62,24
R,2
66,49
R,2
64,49
R,2
62,49
R,2
64,24
R,2
62,24
R,2
66,24
R,2
66,24
R,2
64,49
R,2
64,24
R,2
64,24
R,2
69,49
R,2
68,24
R,2
66,24
R,2
66,24
R,2
64,24
R,2
64,24
R,2
66,24
R,2
66,24
R,2
64,24
R,2
68,24
R,2
64,24
R,2
66,49
R,2
64,49
R,2
66,49
R,2
68,49
R,2
66,49
R,2
71,49
R,2
68,24
R,2
66,24
R,2
66,24
R,2
64,24
R,2
64,24
R,2
64,24
R,2
64,49
R,2
66,24
R,2
64,24
R,2
68,49
R,2
66,49
R,2
64,49
R,2
66,24
R,2
64,24
R,2
68,49
R,2
66,49
R,2
64,24
R,2
64,24
R,2
66,24
R,28
68,24
R,2
66,24
R,2
68,24
R,2
66,24
R,2
68,24
R,2
66,24
R,2
68,49
R,2
68,100
R,53
64,100
64,1
R,100
R,30
59,24
R,28
68,24
R,28
66,75
R,2
68,49
R,100
R,82
59,24
R,28
68,24
R,28
66,75
R,2
61,49
R,100
R,100
R,84
64,24
R,2
63,24
R,2
64,24
R,2
64,49
R,2
64,49
R,28
64,24
R,2
64,24
R,2
64,49
R,2
66,100
66,1
R,2
64,100
64,26
