86,19
83,19
81,19
79,19
83,38
R,100
R,69
74,19
86,19
83,19
81,19
79,19
83,38
R,100
R,88
86,19
83,19
81,19
79,19
83,19
81,19
79,38
R,38
76,38
74,38
R,38
86,19
83,19
81,19
79,19
83,19
81,19
79,38
R,38
76,38
74,38
71,19
74,19
86,19
83,19
81,19
79,19
83,38
R,100
R,69
74,19
86,19
83,19
81,19
79,19
83,38
R,100
R,31
74,19
74,38
86,19
83,19
81,19
79,19
83,19
81,19
79,38
R,38
76,38
74,38
R,38
86,19
83,19
81,19
79,19
83,19
81,19
79,38
R,38
76,38
74,28
R,9
83,38
81,38
79,38
81,56
R,19
76,56
R,19
81,28
R,9
83,28
R,9
81,28
R,9
79,28
R,9
81,56
R,19
76,38
R,19
76,19
81,28
R,9
83,28
R,9
81,28
R,9
79,28
R,9
81,56
R,19
79,56
R,19
81,28
R,9
83,28
R,9
79,28
R,9
76,19
79,19
81,28
R,9
81,19
83,19
81,19
79,38
79,56
R,75
76,19
79,19
81,19
81,19
81,19
83,19
79,38
R,100
R,50
76,19
79,19
81,19
81,19
81,19
83,19
79,38
R,100
R,88
81,19
81,19
81,19
83,19
79,38
R,100
R,69
79,19
81,19
83,19
79,38
R,19
79,19
81,19
83,19
79,38
R,75
79,38
81,19
81,19
81,19
83,19
79,38
R,100
R,50
76,19
79,19
81,19
81,19
81,19
83,19
79,38
R,100
R,50
76,19
79,19
81,19
81,19
81,19
83,19
79,38
R,100
R,69
79,19
81,19
83,19
79,38
R,19
79,19
81,19
83,19
79,38
R,19
74,19
86,19
83,19
81,19
79,19
83,38
R,100
R,69
74,19
86,19
83,19
81,19
79,19
83,38
R,100
R,69
74,19
86,19
83,19
81,19
79,19
83,19
81,19
79,38
R,38
76,38
74,38
R,38
86,19
83,19
81,19
79,19
83,19
81,19
79,38
R,38
76,38
74,28
R,9
71,19
74,19
86,19
83,19
81,19
79,19
83,38
R,100
R,31
74,19
76,19
74,19
86,19
83,19
81,19
79,19
83,38
R,100
R,69
74,19
86,19
83,19
81,19
79,19
83,19
81,19
79,38
R,38
76,38
74,38
R,38
86,19
83,19
81,19
79,19
83,19
81,19
79,38
R,38
76,38
74,28
R,9
83,38
81,38
79,38
81,56
R,19
76,56
R,19
81,28
R,9
83,28
R,9
81,28
R,9
79,28
R,9
81,56
R,19
76,56
R,19
81,28
R,9
83,28
R,9
81,28
R,9
79,28
R,9
81,56
R,19
83,56
R,19
81,28
R,9
83,28
R,9
79,28
R,9
76,19
79,19
81,38
81,19
83,19
81,19
79,38
79,56
R,75
76,19
79,19
81,19
81,19
81,19
83,19
79,38
R,100
R,50
76,19
79,19
81,19
81,19
81,19
83,19
79,38
R,100
R,88
81,19
81,19
81,19
83,19
79,38
R,100
R,69
79,19
81,19
83,19
79,38
R,19
79,19
81,19
83,19
79,38
R,75
79,38
81,19
81,19
81,19
83,19
79,38
R,100
R,50
76,19
79,19
81,19
81,19
81,19
83,19
79,38
R,100
R,50
76,19
79,19
81,19
81,19
81,19
83,19
79,38
R,100
R,69
79,19
81,19
83,19
79,38
R,19
79,19
81,19
83,19
79,38
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,62
76,19
79,19
81,19
83,38
81,19
83,19
84,19
86,100
86,100
86,6
84,38
83,38
79,100
79,31
R,38
81,19
81,19
81,19
83,19
79,38
R,100
R,100
R,100
R,19
79,19
86,19
86,19
83,38
R,19
79,19
86,19
86,19
83,38
R,100
R,100
R,100
74,19
81,38
79,56
R,100
R,31
79,75
76,75
71,38
69,19
67,100
67,12
R,100
R,31
79,19
86,19
86,19
83,38
R,19
79,19
86,19
86,19
83,38
R,19
81,19
R,19
79,19
R,19
79,19
81,100
81,12
R,100
R,100
R,100
R,94
81,19
R,19
83,19
R,19
79,100
79,31
R,100
R,69
79,19
86,19
86,19
83,38
R,19
79,19
86,19
86,19
83,38
R,19
81,19
R,19
79,19
R,19
79,19
81,100
81,12
R,100
R,100
R,100
R,94
81,19
R,19
83,19
R,19
79,100
79,31
R,100
R,100
R,25
86,28
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,22
74,19
81,38
79,56
