58,45
61,45
61,45
61,22
61,22
58,22
58,22
61,22
61,22
61,67
61,22
58,22
59,22
58,90
R,100
R,57
54,22
54,45
58,22
58,22
61,45
61,22
61,22
61,22
61,22
58,22
58,22
61,22
61,22
61,67
61,22
58,45
59,22
58,100
58,12
R,100
R,34
61,22
61,22
63,22
63,22
66,45
68,45
66,45
63,22
63,22
66,22
66,22
68,45
66,45
R,45
61,100
61,34
R,100
R,34
61,22
61,22
63,22
63,22
66,22
66,22
68,22
68,22
66,22
66,22
63,45
66,45
68,100
68,12
66,22
66,90
R,45
71,45
70,45
66,45
68,45
66,100
66,12
R,22
61,22
63,22
66,100
66,12
R,22
61,22
63,22
66,45
68,45
70,45
68,90
71,45
70,45
68,45
66,67
R,100
R,12
66,67
R,45
61,22
61,22
63,22
66,45
68,45
70,45
68,90
R,90
61,22
61,22
63,22
63,22
66,22
66,22
68,22
68,22
66,22
66,22
63,22
63,22
66,22
66,22
68,22
68,22
66,22
66,22
66,45
R,45
66,45
66,45
68,45
R,45
71,22
70,67
70,45
66,45
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,43
58,22
58,22
61,45
61,22
61,22
61,22
61,22
58,22
58,22
61,22
61,22
61,45
R,22
61,22
58,22
59,22
58,90
R,100
R,57
54,22
54,45
58,22
58,22
61,22
61,22
61,45
61,22
61,22
58,22
58,22
61,22
61,22
61,22
61,45
R,22
58,45
59,22
58,100
58,12
R,100
R,34
61,22
61,22
63,22
63,22
66,22
66,22
68,22
68,22
66,22
66,22
63,22
63,22
66,22
66,22
68,100
68,12
66,22
66,100
66,34
65,90
R,45
61,22
61,22
63,22
63,22
66,22
66,22
68,22
68,22
66,22
66,22
63,45
66,45
68,100
68,12
66,22
66,90
R,22
66,22
71,45
70,45
66,45
68,45
66,100
66,12
R,22
61,22
63,22
66,100
66,12
R,22
61,22
63,22
66,45
68,45
70,45
68,90
71,45
70,45
68,45
66,67
R,100
R,12
66,67
R,45
61,22
61,22
63,22
66,45
68,45
70,45
68,90
R,90
61,22
61,22
63,22
63,22
66,22
66,22
68,22
68,22
66,22
66,22
63,22
63,22
66,22
66,22
68,22
68,22
66,22
66,22
66,45
R,45
66,45
66,45
68,45
R,45
71,22
70,67
70,45
66,45
R,45
61,22
63,22
66,67
R,22
71,45
70,100
70,34
70,22
68,22
70,22
68,67
R,45
71,22
70,67
70,45
66,45
R,45
61,22
63,22
66,67
R,22
71,45
70,100
70,34
70,22
68,22
70,22
68,67
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
61,22
61,22
61,22
63,22
63,22
66,22
66,22
68,22
68,22
66,22
66,22
63,22
63,22
66,22
66,22
68,45
66,22
66,90
R,67
65,90
R,67
61,22
61,22
61,22
63,45
66,45
68,45
66,22
66,22
63,45
66,45
68,34
68,45
66,78
R,67
66,45
71,45
70,45
66,45
68,45
66,100
66,12
R,22
61,22
63,22
66,100
66,12
R,22
61,22
63,22
66,45
68,45
70,45
68,90
71,45
70,45
68,45
66,67
R,100
R,12
66,67
R,45
61,22
61,22
63,22
66,45
68,45
70,45
68,90
70,67
R,22
61,22
61,22
63,22
63,22
66,22
66,22
68,22
68,22
66,22
66,22
63,22
63,22
66,22
66,22
68,22
68,22
66,22
66,22
66,45
R,45
66,45
66,45
68,45
R,45
71,22
70,67
70,45
66,45
R,45
61,22
63,22
66,67
R,22
71,45
70,100
70,34
70,22
68,22
70,22
68,67
R,45
71,22
70,67
70,45
66,45
R,45
61,22
63,22
66,67
R,22
71,45
70,100
70,34
70,22
68,22
70,22
68,67
R,90
68,22
66,22
63,45
R,45
66,45
R,45
63,45
R,45
71,45
70,90
R,45
66,45
R,45
61,45
R,45
68,45
66,22
63,22
63,45
R,45
66,45
R,45
63,45
R,45
71,45
70,100
70,34
R,100
R,57
66,22
68,22
70,22
68,22
66,22
R,45
61,45
R,45
58,45
R,45
56,45
R,45
54,45
R,45
61,45
R,45
56,90
59,22
58,22
59,22
58,67
R,45
61,45
R,45
58,45
R,45
56,45
R,45
59,22
58,67
R,90
58,22
56,100
56,12
R,100
R,100
R,100
R,100
R,3
59,22
58,67
R,100
R,100
R,2
54,22
56,22
58,22
56,22
54,22
R,45
56,45
54,45
